pathway,pathway_label,database,NES_Acute_HR,NES_Acute_LR,padj_Acute_HR,padj_Acute_LR,significance,set_size
GOBP_PROTEIN_TETRAMERIZATION,Protein Tetramerization,GO:BP,-1.285,0.973,0.3887,0.8001,NS,25
GOBP_ENDOTHELIAL_CELL_PROLIFERATION,Endothelial Cell Proliferation,GO:BP,0.818,1.439,0.8929,0.3776,NS,15
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS,Positive Regulation Of Hemopoiesis,GO:BP,0.964,1.292,0.7504,0.5226,NS,13
GOBP_POSITIVE_REGULATION_OF_MEMBRANE_PERMEABILITY,Positive Regulation Of Membrane Permeability,GO:BP,-1.516,0.74,0.2297,0.9309,NS,12
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,Positive Regulation Of Mitochondrial Membr...,GO:BP,-1.516,0.74,0.2297,0.9309,NS,12
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,Regulation Of Myeloid Cell Differentiation,GO:BP,0.801,1.455,0.8962,0.3555,NS,18
GOBP_SARCOMERE_ORGANIZATION,Sarcomere Organization,GO:BP,1.545,0.71,0.1526,0.9622,NS,29
GOBP_REGULATION_OF_CELL_MORPHOGENESIS,Regulation Of Cell Morphogenesis,GO:BP,1.452,0.801,0.2388,0.9146,NS,26
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT,Cytoskeleton Dependent Intracellular Trans...,GO:BP,1.403,-0.849,0.2589,0.8987,NS,34
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,Organic Acid Biosynthetic Process,GO:BP,-1.554,0.698,0.08001,0.9841,NS,63
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION,Regulation Of Microtubule Polymerization,GO:BP,1.416,0.836,0.3107,0.888,NS,17
GOBP_STEROL_BIOSYNTHETIC_PROCESS,Sterol Biosynthetic Process,GO:BP,1.105,-1.145,0.6051,0.6611,NS,16
GOBP_CELLULAR_SENESCENCE,Cellular Senescence,GO:BP,-1.399,-0.85,0.3107,0.888,NS,17
GOBP_XENOBIOTIC_METABOLIC_PROCESS,Xenobiotic Metabolic Process,GO:BP,0.862,-1.386,0.8591,0.4017,NS,17
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,Epigenetic Regulation Of Gene Expression,GO:BP,1.328,0.919,0.3853,0.8378,NS,16
GOBP_POSITIVE_REGULATION_OF_PROTEIN_SECRETION,Positive Regulation Of Protein Secretion,GO:BP,1.133,-1.113,0.5594,0.674,NS,28
GOBP_REGULATION_OF_CELLULAR_RESPIRATION,Regulation Of Cellular Respiration,GO:BP,-1.111,-1.135,0.6005,0.6739,NS,14
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,Modified Amino Acid Biosynthetic Process,GO:BP,-1.052,1.193,0.6652,0.6191,NS,18
GOBP_REGULATION_OF_CANONICAL_WNT_SIGNALING_PATHWAY,Regulation Of Canonical Wnt Signaling Pathway,GO:BP,1.372,0.873,0.3291,0.8732,NS,22
GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,Positive Regulation Of Vasculature Develop...,GO:BP,-1.092,1.152,0.6086,0.6573,NS,20
GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH,Regulation Of Extent Of Cell Growth,GO:BP,1.064,1.18,0.6612,0.6468,NS,13
GOBP_PLATELET_AGGREGATION,Platelet Aggregation,GO:BP,1.206,1.037,0.4818,0.7477,NS,21
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,Positive Regulation Of Calcium Ion Transport,GO:BP,-1.105,1.137,0.5959,0.6758,NS,22
GOBP_RESPONSE_TO_CARBOHYDRATE,Response To Carbohydrate,GO:BP,-1.092,1.15,0.6005,0.6468,NS,36
GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,Glycolytic Process Through Fructose 6 Phos...,GO:BP,-1.237,-1.003,0.4589,0.7651,NS,16
GOBP_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT,Regulation Of Nervous System Development,GO:BP,1.241,-0.998,0.4116,0.7652,NS,42
GOBP_NAD_METABOLIC_PROCESS,Nad Metabolic Process,GO:BP,-1.626,0.61,0.1303,0.9841,NS,13
GOBP_SPHINGOLIPID_METABOLIC_PROCESS,Sphingolipid Metabolic Process,GO:BP,-0.801,-1.432,0.894,0.3871,NS,10
GOBP_LYTIC_VACUOLE_ORGANIZATION,Lytic Vacuole Organization,GO:BP,0.976,-1.254,0.7373,0.5423,NS,17
GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS,Ribose Phosphate Metabolic Process,GO:BP,-1.392,-0.838,0.1095,0.9661,NS,153
GOBP_STEROL_TRANSPORT,Sterol Transport,GO:BP,0.695,1.531,0.9683,0.2659,NS,19
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Proteasomal Ubiquit...,GO:BP,1.374,0.851,0.3572,0.8781,NS,11
GOBP_AUTOPHAGOSOME_ORGANIZATION,Autophagosome Organization,GO:BP,1,-1.224,0.7174,0.5599,NS,21
GOBP_GLUTATHIONE_METABOLIC_PROCESS,Glutathione Metabolic Process,GO:BP,-0.853,1.371,0.8809,0.4472,NS,22
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,Regulation Of Cellular Response To Insulin...,GO:BP,1.275,-0.948,0.4246,0.8188,NS,17
GOBP_SPERM_EGG_RECOGNITION,Sperm Egg Recognition,GO:BP,1.042,1.181,0.6793,0.6468,NS,11
GOBP_GLUCOSE_CATABOLIC_PROCESS,Glucose Catabolic Process,GO:BP,-1.393,-0.829,0.3153,0.8953,NS,17
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORT,Regulation Of Potassium Ion Transmembrane ...,GO:BP,1.22,-1.001,0.488,0.7651,NS,13
GOBP_PURINE_CONTAINING_COMPOUND_SALVAGE,Purine Containing Compound Salvage,GO:BP,-0.724,1.495,0.9438,0.3267,NS,10
GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS,Cellular Response To Vascular Endothelial ...,GO:BP,1.031,-1.188,0.687,0.6297,NS,10
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS,Homeostasis Of Number Of Cells,GO:BP,1.298,0.92,0.3416,0.8524,NS,44
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Canonical Nf Kappab Signal Transduction,GO:BP,1.076,1.14,0.612,0.6458,NS,47
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Regulation Of Intracellular Protein Transport,GO:BP,0.959,1.255,0.7549,0.5357,NS,30
GOBP_SENSORY_PERCEPTION_OF_LIGHT_STIMULUS,Sensory Perception Of Light Stimulus,GO:BP,-1.127,1.087,0.5839,0.721,NS,13
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN,Cellular Response To Unfolded Protein,GO:BP,1.411,-0.802,0.3081,0.9115,NS,20
GOBP_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_ENDOPLASMIC_RETICULUM,Release Of Sequestered Calcium Ion Into Cy...,GO:BP,1.386,-0.827,0.3153,0.8987,NS,21
GOBP_ONE_CARBON_METABOLIC_PROCESS,One Carbon Metabolic Process,GO:BP,-1.397,0.815,0.3346,0.8905,NS,10
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION,Cellular Response To Calcium Ion,GO:BP,1.048,1.163,0.6656,0.6468,NS,18
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,Positive Regulation Of Neuron Projection D...,GO:BP,0.969,1.242,0.7435,0.5706,NS,17
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Nucleoside Monophosphate Biosynthetic Process,GO:BP,-0.798,1.412,0.8986,0.395,NS,16
GOBP_RESPONSE_TO_ISCHEMIA,Response To Ischemia,GO:BP,-1.15,-1.059,0.5594,0.7326,NS,14
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,Actin Mediated Cell Contraction,GO:BP,1.223,0.985,0.4423,0.7847,NS,36
GOBP_GOLGI_VESICLE_TRANSPORT,Golgi Vesicle Transport,GO:BP,1.277,0.93,0.3291,0.8524,NS,69
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.191,-1.016,0.4757,0.7526,NS,37
GOBP_HEART_MORPHOGENESIS,Heart Morphogenesis,GO:BP,1.318,0.888,0.3572,0.869,NS,26
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION,Positive Regulation Of Cell Cell Adhesion,GO:BP,-0.902,1.303,0.8308,0.472,NS,32
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Purine Nucleoside Monophosphate Metabolic ...,GO:BP,-0.712,1.493,0.968,0.3192,NS,22
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Response To Topologically Incorrect Protein,GO:BP,1.626,0.578,0.07467,0.9955,NS,42
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS,Glycerophospholipid Metabolic Process,GO:BP,-0.944,-1.258,0.7689,0.5041,NS,25
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CONTRACTION,Positive Regulation Of Muscle Contraction,GO:BP,-0.938,-1.264,0.7676,0.5552,NS,11
GOBP_REGULATION_OF_GTPASE_ACTIVITY,Regulation Of Gtpase Activity,GO:BP,-1.144,-1.058,0.5594,0.7325,NS,15
GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,Transforming Growth Factor Beta Receptor S...,GO:BP,1.504,-0.698,0.1842,0.9719,NS,27
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Substrate Adhesion Dependent Cell Spreading,GO:BP,1.363,0.838,0.3346,0.888,NS,23
GOBP_RESPONSE_TO_CORTICOSTEROID,Response To Corticosteroid,GO:BP,0.972,1.228,0.7435,0.5718,NS,24
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA,Binding Of Sperm To Zona Pellucida,GO:BP,1.083,1.116,0.644,0.7033,NS,10
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,Response To Transforming Growth Factor Beta,GO:BP,1.35,-0.849,0.3216,0.8987,NS,33
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY,Regulation Of Wnt Signaling Pathway,GO:BP,1.417,0.778,0.2644,0.9272,NS,28
GOBP_MUSCLE_CELL_PROLIFERATION,Muscle Cell Proliferation,GO:BP,-0.518,1.676,0.9958,0.1215,NS,26
GOBP_REGULATION_OF_INSULIN_RECEPTOR_SIGNALING_PATHWAY,Regulation Of Insulin Receptor Signaling P...,GO:BP,1.419,0.774,0.316,0.9151,NS,13
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Positive Regulation Of Nucleotide Metaboli...,GO:BP,1.026,-1.166,0.6932,0.6484,NS,11
GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,Purine Nucleoside Monophosphate Biosynthet...,GO:BP,-0.845,1.347,0.8725,0.4715,NS,13
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Negative Regulation Of Response To Endopla...,GO:BP,1.149,1.041,0.5577,0.7477,NS,17
GOBP_BLASTOCYST_DEVELOPMENT,Blastocyst Development,GO:BP,0.778,-1.409,0.9068,0.4062,NS,12
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO:BP,1.054,1.133,0.6637,0.6779,NS,24
GOBP_POSITIVE_REGULATION_OF_PROTEIN_TRANSPORT,Positive Regulation Of Protein Transport,GO:BP,1.27,-0.916,0.379,0.8665,NS,48
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,Regulation Of Post Translational Protein M...,GO:BP,1.461,0.725,0.1526,0.9754,NS,59
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,Canonical Wnt Signaling Pathway,GO:BP,1.341,0.843,0.3498,0.888,NS,24
GOBP_CELLULAR_RESPONSE_TO_GLUCOCORTICOID_STIMULUS,Cellular Response To Glucocorticoid Stimulus,GO:BP,1.056,1.128,0.6652,0.6945,NS,12
GOBP_ERYTHROCYTE_HOMEOSTASIS,Erythrocyte Homeostasis,GO:BP,1.286,0.898,0.3984,0.8629,NS,24
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,Response To Xenobiotic Stimulus,GO:BP,-0.748,1.435,0.9804,0.2426,NS,67
GOBP_REGULATION_OF_AXONOGENESIS,Regulation Of Axonogenesis,GO:BP,1.185,-0.997,0.5296,0.7665,NS,13
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE,Vesicle Mediated Transport In Synapse,GO:BP,1.292,0.89,0.3572,0.8732,NS,41
GOBP_AMYLOID_BETA_METABOLIC_PROCESS,Amyloid Beta Metabolic Process,GO:BP,0.914,1.267,0.7944,0.5506,NS,13
GOBP_CARDIAC_CONDUCTION,Cardiac Conduction,GO:BP,1.331,-0.849,0.365,0.8886,NS,22
GOBP_SUPEROXIDE_METABOLIC_PROCESS,Superoxide Metabolic Process,GO:BP,1.052,1.128,0.6656,0.6904,NS,14
GOBP_RESPONSE_TO_GAMMA_RADIATION,Response To Gamma Radiation,GO:BP,0.874,1.304,0.8349,0.5259,NS,10
GOBP_NUCLEAR_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Nuclear Receptor Mediated Signaling Pathway,GO:BP,1.142,1.034,0.5541,0.7477,NS,25
GOBP_NUCLEOBASE_METABOLIC_PROCESS,Nucleobase Metabolic Process,GO:BP,0.739,1.437,0.9438,0.3723,NS,17
GOBP_REGULATION_OF_CALCINEURIN_MEDIATED_SIGNALING,Regulation Of Calcineurin Mediated Signaling,GO:BP,-1.144,1.031,0.5726,0.757,NS,10
GOBP_RESPONSE_TO_MUSCLE_ACTIVITY,Response To Muscle Activity,GO:BP,-1.051,1.124,0.6656,0.6985,NS,11
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Extrinsic Apoptotic Signaling Pathway,GO:BP,1.252,0.922,0.4242,0.8429,NS,30
GOBP_KERATINOCYTE_DIFFERENTIATION,Keratinocyte Differentiation,GO:BP,0.97,-1.204,0.7435,0.6127,NS,13
GOBP_VIRAL_RELEASE_FROM_HOST_CELL,Viral Release From Host Cell,GO:BP,1.046,1.128,0.6656,0.6891,NS,15
GOBP_ER_NUCLEUS_SIGNALING_PATHWAY,Er Nucleus Signaling Pathway,GO:BP,1.319,-0.854,0.4069,0.8775,NS,12
GOBP_RESPONSE_TO_ORGANOPHOSPHORUS,Response To Organophosphorus,GO:BP,-1.474,0.699,0.2359,0.9586,NS,16
GOBP_HORMONE_MEDIATED_SIGNALING_PATHWAY,Hormone Mediated Signaling Pathway,GO:BP,1.046,1.123,0.6656,0.6764,NS,27
GOBP_METALLO_SULFUR_CLUSTER_ASSEMBLY,Metallo Sulfur Cluster Assembly,GO:BP,1.133,-1.035,0.5726,0.7477,NS,14
GOBP_MUSCLE_CELL_CELLULAR_HOMEOSTASIS,Muscle Cell Cellular Homeostasis,GO:BP,0.508,-1.66,0.9947,0.1872,NS,14
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,Mitochondrial Electron Transport Ubiquinol...,GO:BP,-1.087,-1.079,0.6288,0.7196,NS,12
GOBP_PURINE_NUCLEOTIDE_CATABOLIC_PROCESS,Purine Nucleotide Catabolic Process,GO:BP,-1.22,-0.943,0.4246,0.8377,NS,48
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,Biological Process Involved In Interaction...,GO:BP,1.261,0.901,0.3989,0.8661,NS,39
GOBP_ESTABLISHMENT_OF_ENDOTHELIAL_BARRIER,Establishment Of Endothelial Barrier,GO:BP,0.944,1.218,0.7623,0.6191,NS,10
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,Integrin Mediated Signaling Pathway,GO:BP,1.11,1.052,0.5863,0.73740000000000006,NS,21
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,Positive Regulation Of Epithelial Cell Pro...,GO:BP,1.213,0.949,0.491,0.818,NS,15
HALLMARK_PEROXISOME,Peroxisome,Hallmark,-1.236,0.926,0.4145,0.8429,NS,37
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,Establishment Of Protein Localization To M...,GO:BP,-1.037,-1.124,0.6656,0.6276,NS,51
GOBP_TISSUE_MIGRATION,Tissue Migration,GO:BP,1.044,1.117,0.6793,0.7033,NS,11
GOBP_EPIDERMAL_CELL_DIFFERENTIATION,Epidermal Cell Differentiation,GO:BP,0.997,-1.163,0.7174,0.6424,NS,17
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Positive Regulation Of Mitotic Cell Cycle ...,GO:BP,1.079,-1.081,0.6508,0.7186,NS,10
GOBP_REGULATION_OF_CARBOHYDRATE_CATABOLIC_PROCESS,Regulation Of Carbohydrate Catabolic Process,GO:BP,-0.806,-1.354,0.9006,0.439,NS,20
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Regulation Of Response To Endoplasmic Reti...,GO:BP,1.326,0.831,0.3572,0.8939,NS,24
GOBP_RESPONSE_TO_KETONE,Response To Ketone,GO:BP,1.061,-1.096,0.6555,0.6827,NS,29
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,Positive Regulation Of Mapk Cascade,GO:BP,0.945,1.211,0.7689,0.5739,NS,33
GOBP_CALCINEURIN_MEDIATED_SIGNALING,Calcineurin Mediated Signaling,GO:BP,-0.972,1.184,0.7419,0.6468,NS,11
GOBP_AMINO_ACID_TRANSPORT,Amino Acid Transport,GO:BP,-1.198,-0.953,0.5068,0.8113,NS,11
GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT,Sarcoplasmic Reticulum Calcium Ion Transport,GO:BP,1.138,-1.013,0.5559,0.757,NS,24
GOBP_EPITHELIAL_CELL_DEVELOPMENT,Epithelial Cell Development,GO:BP,0.998,1.148,0.7198,0.6529,NS,29
GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,Regulation Of Signal Transduction By p53 C...,GO:BP,1.133,1.01,0.5655,0.7651,NS,19
GOBP_PROTEINOGENIC_AMINO_ACID_BIOSYNTHETIC_PROCESS,Proteinogenic Amino Acid Biosynthetic Process,GO:BP,-1.613,0.529,0.1494,0.9907,NS,11
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,Negative Regulation Of Cell Adhesion,GO:BP,1.239,0.902,0.4397,0.8629,NS,28
GOBP_SPERMATID_DIFFERENTIATION,Spermatid Differentiation,GO:BP,0.968,1.173,0.7435,0.6424,NS,18
GOBP_STEM_CELL_DIFFERENTIATION,Stem Cell Differentiation,GO:BP,1.553,0.588,0.1694,0.988,NS,20
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,Primary Alcohol Metabolic Process,GO:BP,1.213,-0.927,0.4688,0.8377,NS,22
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,Regulation Of Mitochondrial Membrane Perme...,GO:BP,-1.445,0.695,0.2644,0.9588,NS,16
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,0.699,1.441,0.9671,0.3599,NS,17
GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Cellular Response To Topologically Incorre...,GO:BP,1.405,-0.734,0.282,0.9586,NS,24
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Positive Regulation Of Pattern Recognition...,GO:BP,1.333,0.806,0.3871,0.8987,NS,15
GOBP_MYOBLAST_DIFFERENTIATION,Myoblast Differentiation,GO:BP,1.178,0.961,0.524,0.8084,NS,17
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_NEUROTRANSMITTER_RECEPTOR_LEVELS,Regulation Of Postsynaptic Membrane Neurot...,GO:BP,-1.315,-0.824,0.3871,0.8953,NS,16
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION,Mitochondrial Outer Membrane Permeabilization,GO:BP,-1.261,0.877,0.456,0.8665,NS,10
GOBP_REGULATION_OF_ORGAN_GROWTH,Regulation Of Organ Growth,GO:BP,1.176,0.961,0.5503,0.8084,NS,10
GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX,Protein Import Into Mitochondrial Matrix,GO:BP,-0.81,-1.325,0.8934,0.4906,NS,12
GOBP_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES,Response To Reactive Oxygen Species,GO:BP,0.841,1.293,0.896,0.4682,NS,46
GOBP_RESPONSE_TO_LIGHT_STIMULUS,Response To Light Stimulus,GO:BP,0.966,1.167,0.7504,0.6138,NS,43
GOBP_MEMBRANE_DOCKING,Membrane Docking,GO:BP,1.104,1.027,0.6028,0.7526,NS,19
GOBP_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO:BP,0.92,-1.211,0.8119,0.5226,NS,39
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM,Cellular Process Involved In Reproduction ...,GO:BP,1.092,1.038,0.6038,0.7477,NS,25
GOBP_DICARBOXYLIC_ACID_TRANSPORT,Dicarboxylic Acid Transport,GO:BP,-1.155,0.975,0.5594,0.7982,NS,12
GOBP_REGULATION_OF_PROTEIN_TRANSPORT,Regulation Of Protein Transport,GO:BP,1.085,1.045,0.5884,0.7358,NS,76
GOBP_T_CELL_PROLIFERATION,T Cell Proliferation,GO:BP,0.842,1.288,0.8809,0.5226,NS,19
GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS,Nucleoside Monophosphate Metabolic Process,GO:BP,-0.616,1.513,0.9918,0.2639,NS,26
GOBP_ORGANIC_ANION_TRANSPORT,Organic Anion Transport,GO:BP,-1.25,0.879,0.3893,0.8789,NS,46
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY,Regulation Of Neuronal Synaptic Plasticity,GO:BP,0.809,1.318,0.8857,0.5097,NS,10
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,Amino Acid Biosynthetic Process,GO:BP,-1.615,0.512,0.1291,0.9955,NS,16
GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT,Positive Regulation Of Cell Development,GO:BP,0.985,1.142,0.7282,0.6458,NS,44
GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS,Secondary Alcohol Metabolic Process,GO:BP,-0.945,1.182,0.7753,0.6191,NS,28
GOBP_IMPORT_INTO_NUCLEUS,Import Into Nucleus,GO:BP,1.009,1.117,0.701,0.6792,NS,38
GOBP_REGULATION_OF_CIRCADIAN_RHYTHM,Regulation Of Circadian Rhythm,GO:BP,1.152,-0.972,0.5541,0.799,NS,18
GOBP_REGULATION_OF_EXOCYTOSIS,Regulation Of Exocytosis,GO:BP,0.955,1.167,0.7549,0.6394,NS,27
GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS,Nucleoside Diphosphate Metabolic Process,GO:BP,-1.315,-0.806,0.3346,0.9378,NS,43
GOBP_ORGANIC_ACID_TRANSPORT,Organic Acid Transport,GO:BP,-1.149,0.972,0.5141,0.8001,NS,39
GOBP_EMBRYO_IMPLANTATION,Embryo Implantation,GO:BP,0.925,1.195,0.7813,0.6394,NS,11
GOBP_TRNA_PROCESSING,Trna Processing,GO:BP,-0.633,-1.487,0.9804,0.3267,NS,15
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION,Positive Regulation Of Establishment Of Pr...,GO:BP,1.263,0.856,0.3552,0.8987,NS,68
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION,Cortical Cytoskeleton Organization,GO:BP,0.798,1.32,0.8986,0.4968,NS,16
GOBP_MICROTUBULE_BASED_TRANSPORT,Microtubule Based Transport,GO:BP,1.322,0.796,0.3564,0.92,NS,29
GOBP_LIPID_DROPLET_ORGANIZATION,Lipid Droplet Organization,GO:BP,0.956,-1.162,0.7504,0.6484,NS,10
GOBP_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY,Regulation Of Transmembrane Receptor Prote...,GO:BP,1.25,-0.868,0.4263,0.8846,NS,26
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION,Positive Regulation Of Lipid Localization,GO:BP,-1.062,1.055,0.6612,0.7421,NS,16
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION,Myeloid Leukocyte Differentiation,GO:BP,0.832,1.284,0.8832,0.5226,NS,17
GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE,Vesicle Mediated Transport To The Plasma M...,GO:BP,1.14,-0.976,0.5541,0.7921,NS,28
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Antigen Receptor Mediated Signaling Pathway,GO:BP,-0.794,-1.321,0.8986,0.48,NS,15
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY,Regulation Of Synaptic Plasticity,GO:BP,1.11,1.002,0.5883,0.7665,NS,23
GOBP_LYSOSOMAL_TRANSPORT,Lysosomal Transport,GO:BP,1.335,0.775,0.3552,0.9233,NS,24
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,Phenol Containing Compound Metabolic Process,GO:BP,0.957,1.152,0.7549,0.6741,NS,13
GOBP_METABOLIC_COMPOUND_SALVAGE,Metabolic Compound Salvage,GO:BP,-0.831,1.277,0.8832,0.5385,NS,14
GOBP_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT,Peripheral Nervous System Development,GO:BP,0.988,-1.119,0.7257,0.6827,NS,18
GOBP_POSITIVE_REGULATION_OF_CATALYTIC_ACTIVITY,Positive Regulation Of Catalytic Activity,GO:BP,1.064,1.042,0.6322,0.743,NS,46
GOBP_POSITIVE_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,Positive Regulation Of Small Gtpase Mediat...,GO:BP,1.318,0.788,0.4001,0.9091,NS,13
GOBP_INORGANIC_ANION_TRANSPORT,Inorganic Anion Transport,GO:BP,-0.806,1.298,0.8942,0.5226,NS,12
GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Negative Regulation Of Ubiquitin Dependent...,GO:BP,1.226,0.877,0.466,0.872,NS,17
GOBP_SMOOTH_MUSCLE_CONTRACTION,Smooth Muscle Contraction,GO:BP,-1.278,-0.825,0.4286,0.888,NS,11
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS,Regulation Of Mitochondrial Membrane Perme...,GO:BP,-1.299,0.801,0.4116,0.8987,NS,13
