Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
SLC1A2	P43004	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			18000	0.0	8.9
SLC1A3	P43003	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.4	252.1
SLC1A4	P43007	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.2	66.4
SLC1A5	Q15758	"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			27000	81.1	0.2
SLC1A6	P48664	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC1A7	O00341	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.2
SLC20A1	Q8WUM9	"Metabolic proteins, Predicted membrane proteins, Transporters"				7.1	36.6
SLC20A2	Q08357	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				1.3	1452.7
SLC22A1	O15245	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	12.8
SLC22A10	Q63ZE4	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC22A11	Q9NSA0	"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC22A12	Q96S37	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC22A13	Q9Y226	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	1.8
SLC22A14	Q9Y267	"Predicted membrane proteins, Transporters"				0.0	6.3
SLC22A15	Q8IZD6	"Metabolic proteins, Predicted membrane proteins, Transporters"				4.2	1.1
SLC22A16	Q86VW1	"Metabolic proteins, Predicted membrane proteins, Transporters"				10.5	0.1
SLC22A17	Q8WUG5	"Predicted membrane proteins, Transporters"				0.0	0.3
SLC22A18	Q96BI1	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.3
SLC22A2	O15244	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.5
SLC22A23	A1A5C7	"Predicted membrane proteins, Transporters"				20.7	153.9
SLC22A24	Q8N4F4	"Essential proteins, Predicted membrane proteins"				0.0	0.6
SLC22A25	Q6T423	"Predicted membrane proteins, Transporters"				0.0	0.5
SLC22A3	O75751	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	192.6
SLC22A31	A6NKX4	"Predicted membrane proteins, Transporters"				0.0	0.4
SLC22A4	Q9H015	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins"				17.3	125.6
SLC22A5	O76082	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				1.5	101.4
SLC22A6	Q4U2R8	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC22A7	Q9Y694	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC22A8	Q8TCC7	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC22A9	Q8IVM8	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC23A1	Q9UHI7	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	3.0
SLC23A2	Q9UGH3	"Metabolic proteins, Predicted membrane proteins, Transporters"				2.0	46.4
SLC23A3	Q6PIS1	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC24A1	O60721	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				4.7	21.5
SLC24A2	Q9UI40	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	5.6
SLC24A3	Q9HC58	"Metabolic proteins, Predicted membrane proteins, Transporters"				4.8	227.2
SLC24A4	Q8NFF2	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.5	2.6
SLC24A5	Q71RS6	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.6
SLC25A1	P53007	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			31000	1.7	7.7
SLC25A10	Q9UBX3	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.5	0.3
SLC25A11	Q02978	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"			5600	3.7	11.7
SLC25A12	O75746	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			4800	3.7	702.0
SLC25A13	Q9UJS0	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"			10000	3.2	236.1
SLC25A14	O95258	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.5	2.1
SLC25A15	Q9Y619	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.5	7.3
SLC25A16	P16260	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				6.0	147.6
SLC25A17	O43808	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.5	103.2
SLC25A18	Q9H1K4	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.0	16.5
SLC25A19	Q9HC21	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.6	11.0
SLC25A2	Q9BXI2	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC25A20	O43772	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				6.3	94.8
SLC25A21	Q9BQT8	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"				16.9	99.1
SLC25A22	Q9H936	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.4
SLC25A23	Q9BV35	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.1	14.3
SLC25A24	Q6NUK1	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			5100	0.1	6.6
SLC25A25	Q6KCM7	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.1	16.3
SLC25A26	Q70HW3	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	1.1
SLC25A27	O95847	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	112.2
SLC25A28	Q96A46	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.7	25.3
SLC25A29	Q8N8R3	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	12.8
SLC25A3	Q00325	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			340000	49.5	54.7
SLC25A30	Q5SVS4	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.5	79.6
SLC25A31	Q9H0C2	"Predicted membrane proteins, Transporters"				0.0	0.3
SLC25A32	Q9H2D1	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.9
SLC25A33	Q9BSK2	"Metabolic proteins, Predicted membrane proteins, Transporters"				3.4	80.2
SLC25A34	Q6PIV7	"Predicted membrane proteins, Transporters"				0.0	63.0
SLC25A35	Q3KQZ1	"Predicted membrane proteins, Transporters"				0.2	2.4
SLC25A36	Q96CQ1	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				6.7	409.2
SLC25A37	Q9NYZ2	"Metabolic proteins, Predicted intracellular proteins, Transporters"				2304.3	137.7
SLC25A38	Q96DW6	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				8.9	10.2
SLC25A39	Q9BZJ4	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				665.6	13.1
SLC25A4	P12235	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"			650000	0.2	362.7
SLC25A40	Q8TBP6	"Metabolic proteins, Predicted membrane proteins, Transporters"				4.9	49.7
SLC25A41	Q8N5S1	"Predicted intracellular proteins, Transporters"				0.0	1.4
SLC25A42	Q86VD7	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				8.7	182.5
SLC25A43	Q8WUT9	"Predicted membrane proteins, Transporters"				0.0	3.8
SLC25A44	Q96H78	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.0	9.7
SLC25A45	Q8N413	"Predicted membrane proteins, Transporters"				0.3	40.5
SLC25A46	Q96AG3	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.4	54.3
SLC25A47	Q6Q0C1	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC25A48	Q6ZT89	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	1.0
SLC25A5	P05141	"Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"			2000000	13.9	11.6
SLC25A51	Q9H1U9	"Predicted membrane proteins, Transporters"				0.1	0.3
SLC25A52	Q3SY17	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC25A53	Q5H9E4	"Predicted membrane proteins"				1.5	26.6
SLC25A6	P12236	"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"			870000	38.7	14.1
SLC26A1	Q9H2B4	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.1
SLC26A11	Q86WA9	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	17.1
SLC26A2	P50443	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.1	10.4
SLC26A3	P40879	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				116.4	3.7
SLC26A4	O43511	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.8
SLC26A5	P58743	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.4	46.5
SLC26A6	Q9BXS9	"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"				0.1	3.5
SLC26A7	Q8TE54	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.2	8.1
SLC26A8	Q96RN1	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.4	1.2
SLC26A9	Q7LBE3	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	4.1
SLC27A1	Q6PCB7	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.1	139.1
SLC27A2	O14975	"Enzymes, Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC27A3	Q5K4L6	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC27A4	Q6P1M0	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.1	17.1
SLC27A5	Q9Y2P5	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	7.5
SLC27A6	Q9Y2P4	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.6
SLC28A1	O00337	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	5.5
SLC28A2	O43868	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	21.3
SLC28A3	Q9HAS3	"Metabolic proteins, Predicted membrane proteins, Transporters"				1.5	0.6
SLC29A1	Q99808	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				5.9	47.7
SLC29A2	Q14542	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	172.9
SLC29A3	Q9BZD2	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.7
SLC29A4	Q7RTT9	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	1.8
SLC2A1	P11166	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			2500000	196.8	0.1
SLC2A10	O95528	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC2A11	Q9BYW1	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.4
SLC2A12	Q8TD20	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	70.2
SLC2A13	Q96QE2	"Metabolic proteins, Predicted membrane proteins, Transporters"				3.4	13.7
SLC2A14	Q8TDB8	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.2	1.1
SLC2A2	P11168	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.3
SLC2A3	P11169	"Metabolic proteins, Predicted membrane proteins, Transporters"			6800000	7.6	0.2
SLC2A4	P14672	"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.1
SLC2A4RG	Q9NR83	"Predicted intracellular proteins"				13.7	21.9
SLC2A5	P22732	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.5	35.3
SLC2A6	Q9UGQ3	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC2A7	Q6PXP3	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.1
SLC2A8	Q9NY64	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.2	10.2
SLC2A9	Q9NRM0	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.2	11.4
SLC30A1	Q9Y6M5	"Metabolic proteins, Predicted membrane proteins, Transporters"				9.7	0.5
SLC30A10	Q6XR72	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				25.6	0.7
SLC30A2	Q9BRI3	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.8
SLC30A3	Q99726	"Predicted membrane proteins, Transporters"				0.0	0.5
SLC30A4	O14863	"Plasma proteins, Predicted membrane proteins, Transporters"				0.2	16.6
SLC30A5	Q8TAD4	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				4.7	88.9
SLC30A6	Q6NXT4	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.2	108.0
SLC30A7	Q8NEW0	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.5	62.1
SLC30A8	Q8IWU4	"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	1.2
SLC30A9	Q6PML9	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				7.7	158.7
SLC31A1	O15431	"Metabolic proteins, Predicted membrane proteins, Transporters"				8.1	32.0
SLC31A2	O15432	"Predicted membrane proteins, Transporters"				0.3	5.4
SLC32A1	Q9H598	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC33A1	O00400	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.1
SLC34A1	Q06495	"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	0.1
SLC34A2	O95436	"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
SLC34A3	Q8N130	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.1
SLC35A1	P78382	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				1.7	5.0
SLC35A2	P78381	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.3	1.1
SLC35A3	Q9Y2D2	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.2
SLC35A4	"L0R6Q1, Q96G79"	"Predicted membrane proteins, Transporters"				0.1	4.1
SLC35A5	Q9BS91	"Predicted membrane proteins, Transporters"				2.0	25.4
SLC35B1	P78383	"Essential proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.5	7.5
SLC35B2	Q8TB61	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	3.1
SLC35B3	Q9H1N7	"Predicted membrane proteins, Transporters"				2.4	32.0
SLC35B4	Q969S0	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	28.9
SLC35C1	Q96A29	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.6
SLC35C2	Q9NQQ7	"Predicted membrane proteins, Transporters"				1.7	25.4
SLC35D1	Q9NTN3	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.5	122.7
SLC35D2	Q76EJ3	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	7.3
SLC35D3	Q5M8T2	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC35E1	Q96K37	"Predicted membrane proteins, Transporters"				0.2	0.8
SLC35E2B	P0CK96	"Predicted membrane proteins, Transporters"				2.0	48.0
SLC35E3	Q7Z769	"Predicted membrane proteins, Transporters"				3.4	46.0
SLC35E4	Q6ICL7	"Predicted membrane proteins, Transporters"				3.0	37.8
SLC35F1	Q5T1Q4	"Predicted membrane proteins, Transporters"				1.7	92.4
SLC35F2	Q8IXU6	"Predicted membrane proteins, Transporters"				1.5	8.5
SLC35F3	Q8IY50	"Predicted membrane proteins, Transporters"				0.2	8.2
SLC35F4	A4IF30	"Essential proteins, Predicted membrane proteins, Transporters"				0.0	14.7
SLC35F5	Q8WV83	"Predicted membrane proteins, Transporters"				1.8	188.7
SLC35F6	Q8N357	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC35G1	Q2M3R5	"Predicted membrane proteins, Transporters"				0.0	22.9
SLC35G2	Q8TBE7	"Predicted membrane proteins, Transporters"				1.5	27.7
SLC35G3	Q8N808	"Predicted membrane proteins, Transporters"				0.0	1.3
SLC35G4	P0C7Q5	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC35G5	Q96KT7	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC35G6	P0C7Q6	"Predicted membrane proteins, Transporters"				0.0	0.0
SLC36A1	Q7Z2H8	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				16.7	47.3
SLC36A2	Q495M3	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	737.6
SLC36A3	Q495N2	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.4
SLC36A4	Q6YBV0	"Metabolic proteins, Predicted membrane proteins, Transporters"				1.2	33.1
SLC37A1	P57057	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				2.0	37.9
SLC37A2	Q8TED4	"Predicted membrane proteins, Transporters"				0.3	0.4
SLC37A3	Q8NCC5	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.8	30.1
SLC37A4		"Human disease related genes, Predicted membrane proteins"				0.0	0.1
SLC38A1	Q9H2H9	"FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.3	101.3
SLC38A10	Q9HBR0	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			34000000	0.7	17.4
SLC38A11	Q08AI6	"Predicted membrane proteins, Transporters"				0.2	0.2
SLC38A2	Q96QD8	"Essential proteins, FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"				37.8	377.3
SLC38A3	Q99624	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	34.0
SLC38A4	Q969I6	"FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	123.9
SLC38A5	Q8WUX1	"Metabolic proteins, Predicted membrane proteins, Transporters"				38.7	0.0
SLC38A6	Q8IZM9	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.3	137.8
SLC38A7	Q9NVC3	"Predicted membrane proteins, Transporters"				0.2	22.4
SLC38A8	A6NNN8	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.3
SLC38A9	Q8NBW4	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				3.0	67.5
SLC39A1	Q9NY26	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.6	1.0
SLC39A10	Q9ULF5	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			330000	0.5	33.4
SLC39A11	Q8N1S5	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				8.1	54.6
SLC39A12	Q504Y0	"Predicted membrane proteins, Transporters"				0.2	0.3
SLC39A13	Q96H72	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.3	3.8
SLC39A14	Q15043	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			1000000	0.0	17.5
SLC39A2	Q9NP94	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC39A3	Q9BRY0	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	0.0
SLC39A4	Q6P5W5	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.5	0.1
SLC39A5	Q6ZMH5	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.6
SLC39A6	Q13433	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.1	11.0
SLC39A7	Q92504	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.2	0.6
SLC39A8	Q9C0K1	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				6.4	1.3
SLC39A9	Q9NUM3	"Predicted membrane proteins, Transporters"				0.4	47.2
SLC3A1	Q07837	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	33.3
SLC3A2	P08195	"Cancer-related genes, CD markers, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			61000000	14.6	21.0
SLC40A1	Q9NP59	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				82.6	59.9
SLC41A1	Q8IVJ1	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				1.5	71.0
SLC41A2	Q96JW4	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	4.3
SLC41A3	Q96GZ6	"Predicted membrane proteins, Transporters"				1.5	16.2
SLC43A1	O75387	"Metabolic proteins, Predicted membrane proteins, Transporters"				6.7	8.0
SLC43A2	Q8N370	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.2	0.7
SLC43A3	Q8NBI5	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.3
SLC44A1	Q8WWI5	"CD markers, Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"			93000	3.7	72.2
SLC44A2	Q8IWA5	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			2600000	12.1	85.0
SLC44A3	Q8N4M1	"Cancer-related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.4
SLC44A4	Q53GD3	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.0
SLC44A5	Q8NCS7	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	27.4
SLC45A1	Q9Y2W3	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	0.6
SLC45A2	Q9UMX9	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.1
SLC45A3	Q96JT2	"Cancer-related genes, Predicted membrane proteins, Transporters"				0.2	5.7
SLC45A4	Q5BKX6	"Predicted membrane proteins, Transporters"				0.6	16.2
SLC46A1	Q96NT5	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.2	2.7
SLC46A2	Q9BY10	"Predicted membrane proteins, Transporters"				0.0	1.5
SLC46A3	Q7Z3Q1	"Predicted membrane proteins, Transporters"				0.4	60.2
SLC47A1	Q96FL8	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	123.9
SLC47A2	Q86VL8	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.0	20.5
SLC48A1	Q6P1K1	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				9.5	3.8
SLC49A3	Q6UXD7	"Predicted membrane proteins, Transporters"				0.0	0.5
SLC49A4	Q96SL1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"				3.7	327.3
SLC4A1	P02730	"Blood group antigen proteins, CD markers, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"			41000000	670.0	0.2
SLC4A10	Q6U841	"Metabolic proteins, Predicted membrane proteins, Transporters"				0.2	1.5
SLC4A11	Q8NBS3	"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.6
SLC4A1AP	Q9BWU0	"Predicted intracellular proteins"				0.4	28.0
SLC4A2	P04920	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.1	7.3
SLC4A3	P48751	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	0.4
