gene,logFC,neg_log10_p,pi_score,adj_pval,direction
JPH1,-0.3618,0.6841,0.56563,0.99973,NS
ECHDC3,-0.3852,0.6419,0.565923,0.99973,NS
OGDH,0.1972,1.2516,0.566512,0.99973,NS
PFDN4,-0.2941,0.8385,0.566788,0.99973,NS
CCS,-0.4396,0.5594,0.567661,0.99973,NS
SERBP1,-0.3904,0.6295,0.567877,0.99973,NS
ATP5MF,-0.3366,0.7295,0.568125,0.99973,NS
ERI3,-0.2949,0.8311,0.568755,0.99973,NS
SARS1,-0.3909,0.6265,0.568979,0.99973,NS
TMOD4,-0.4446,0.5507,0.569086,0.99973,NS
S100A9,-0.6038,0.4005,0.573084,0.99973,NS
HNRNPU,0.3965,0.609,0.573498,0.99973,NS
MFN2,-0.3368,0.7079,0.577571,0.99973,NS
CYCS,0.2852,0.8324,0.578822,0.99973,NS
ROMO1,0.3766,0.6298,0.57917,0.99973,NS
PIN4,-0.3261,0.725,0.580208,0.99973,NS
LMNB2,0.5436,0.434,0.580879,0.99973,NS
TARDBP,-0.4352,0.5389,0.58275,0.99973,NS
SLC1A4,-0.4644,0.5045,0.583052,0.99973,NS
PCBP2,0.2272,1.0302,0.583349,0.99973,NS
PPID,-0.3245,0.721,0.583482,0.99973,NS
MYH1,-0.5251,0.4448,0.58404,0.99973,NS
TMED2,-0.4305,0.5424,0.584091,0.99973,NS
STT3A,0.4642,0.502,0.584773,0.99973,NS
LAP3,0.3117,0.7458,0.585468,0.99973,NS
RPS25,0.3044,0.7579,0.587862,0.99973,NS
CRIP2,0.4426,0.5212,0.587953,0.99973,NS
SYNPO,0.3789,0.6087,0.587977,0.99973,NS
RAB5B,-0.3865,0.5965,0.588157,0.99973,NS
ACAA1,-0.3366,0.6846,0.588211,0.99973,NS
SDHD,-0.3648,0.631,0.588568,0.99973,NS
ENOPH1,-0.2808,0.8185,0.589102,0.99973,NS
JPT2,0.3351,0.6843,0.589778,0.99973,NS
ERP44,-0.2785,0.8223,0.590177,0.99973,NS
SORD,0.331,0.6888,0.591542,0.99973,NS
MYBPC1,-0.3826,0.5937,0.592751,0.99973,NS
DDOST,-0.2789,0.8137,0.592968,0.99973,NS
ARL8A,-0.3225,0.7031,0.593253,0.99973,NS
SYNE2,-0.5927,0.3817,0.593957,0.99973,NS
CHMP6,-0.2796,0.8086,0.59422,0.99973,NS
RAB12,-0.3227,0.6991,0.594885,0.99973,NS
CD63,0.3974,0.5662,0.595628,0.99973,NS
SDR39U1,0.4361,0.5148,0.596334,0.99973,NS
ISYNA1,-0.4366,0.5129,0.597156,0.99973,NS
NANS,-0.4402,0.5073,0.597978,0.99973,NS
LRPPRC,0.2029,1.0903,0.600831,0.99973,NS
DCTN3,0.3324,0.6606,0.60312,0.99973,NS
PAIP1,0.3237,0.6779,0.603343,0.99973,NS
RMDN1,0.3281,0.6648,0.605151,0.99973,NS
SUCLG1,0.2354,0.9247,0.605764,0.99973,NS
DPYSL2,0.2858,0.7613,0.605927,0.99973,NS
COX5A,0.2738,0.7881,0.608425,0.99973,NS
IDH3B,0.2386,0.8997,0.609989,0.99973,NS
IBA57,0.3806,0.5634,0.610346,0.99973,NS
IPO5,-0.242,0.8847,0.610793,0.99973,NS
CSNK1A1,-0.38,0.5626,0.611262,0.99973,NS
FSCN1,0.4682,0.4557,0.611903,0.99973,NS
RPL35,0.5695,0.3736,0.612681,0.99973,NS
KYAT1,-0.3548,0.5991,0.612986,0.99973,NS
IMPA2,-0.319,0.6648,0.613704,0.99973,NS
IRGQ,-0.3213,0.6597,0.613847,0.99973,NS
PVALB,0.5847,0.3614,0.614721,0.99973,NS
HTRA2,-0.3475,0.6081,0.614739,0.99973,NS
PSME2,0.3637,0.5792,0.615644,0.99973,NS
DARS2,-0.3625,0.5805,0.615939,0.99973,NS
GHITM,0.329,0.6394,0.616051,0.99973,NS
DCAF6,-0.2657,0.7893,0.616979,0.99973,NS
CAB39L,-0.5481,0.3822,0.617352,0.99973,NS
CLIC4,0.3459,0.6052,0.617536,0.99973,NS
DLAT,0.2187,0.9502,0.619679,0.99973,NS
YARS1,-0.4346,0.4764,0.620757,0.99973,NS
TBCB,0.2852,0.7247,0.621341,0.99973,NS
DCTN4,-0.3041,0.6792,0.621534,0.99973,NS
CLYBL,-0.4424,0.465,0.622699,0.99973,NS
PEA15,-0.5674,0.3625,0.622757,0.99973,NS
DECR1,0.2054,0.9994,0.62338,0.99973,NS
SLIRP,0.271,0.7572,0.623457,0.99973,NS
ALDH9A1,-0.2146,0.9515,0.62487,0.99973,NS
FTL,0.4787,0.4265,0.624932,0.99973,NS
ASPN,0.4952,0.4098,0.626696,0.99973,NS
PDP1,-0.3432,0.5897,0.627455,0.99973,NS
HIBCH,0.3088,0.6534,0.628367,0.99973,NS
PGLS,-0.2787,0.723,0.628777,0.99973,NS
ACAD10,-0.2851,0.7038,0.630035,0.99973,NS
UBE2G1,-0.378,0.5298,0.630531,0.99973,NS
MT-CYB,-0.3575,0.5577,0.631842,0.99973,NS
ADH1B,-0.371,0.5339,0.633713,0.99973,NS
RPL14,0.3461,0.5724,0.633722,0.99973,NS
PSMC5,0.1902,1.0271,0.637712,0.99973,NS
AHNAK,0.2917,0.6694,0.637931,0.99973,NS
