gene,logFC_Training_HR,logFC_Training_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
EIF4E,-0.2262,0.1514,0.706386,0.847937,0.448903,NS,HR↓ LR↑
ABCF2,0.0287,-0.3489,0.998269,0.613228,0.735958,NS,HR↑ LR↓
SLC25A46,0.2495,0.1275,0.775121,0.920326,0.960178,NS,Concordant Up
CPA3,0.3733,0.0035,0.65034,0.999966,0.735291,NS,Concordant Up
UBA1,-0.2964,-0.0796,0.460508,0.956422,0.778383,NS,Concordant Down
RPL14,-0.028,0.3479,0.998136,0.6257,0.720645,NS,HR↓ LR↑
LACTB,0.3377,-0.0382,0.675248,0.995743,0.705014,NS,HR↑ LR↓
APOBEC2,0.3551,0.0206,0.544495,0.998458,0.695401,NS,Concordant Up
RANBP1,-0.0934,0.2815,0.982679,0.769029,0.766347,NS,HR↓ LR↑
CARM1,0.1089,-0.2654,0.966831,0.776603,0.708994,NS,HR↑ LR↓
MYL2,-0.2004,-0.173,0.930715,0.940075,0.999114,NS,Concordant Down
CLU,0.0897,-0.2836,0.984185,0.799724,0.782868,NS,HR↑ LR↓
GYS1,0.1708,0.2024,0.810619,0.683294,0.996056,NS,Concordant Up
USP9X,-0.2304,0.1428,0.891786,0.950548,0.78511,NS,HR↓ LR↑
HIBADH,0.2715,0.1016,0.535654,0.926514,0.866661,NS,Concordant Up
PSMD12,-0.1676,-0.2049,0.804676,0.652924,0.994076,NS,Concordant Down
JPH2,-0.1935,-0.1789,0.929835,0.930055,0.999729,NS,Concordant Down
ASAH1,0.3224,0.0498,0.686703,0.992087,0.833175,NS,Concordant Up
MT-ND5,0.3249,0.0472,0.703775,0.993564,0.840711,NS,Concordant Up
PDLIM1,-0.2988,0.0733,0.743318,0.983654,0.710367,NS,HR↓ LR↑
CD59,-0.2651,-0.107,0.806143,0.963678,0.950269,NS,Concordant Down
BCAM,0.3137,-0.0584,0.774775,0.989779,0.747245,NS,HR↑ LR↓
LGALS3BP,-0.3004,-0.0713,0.849727,0.991764,0.939203,NS,Concordant Down
MAT2A,0.1279,0.2432,0.929814,0.685026,0.958944,NS,Concordant Up
PSMA4,-0.2548,-0.1162,0.60579,0.907083,0.918007,NS,Concordant Down
RPS19,0.2615,0.109,0.740736,0.950675,0.938104,NS,Concordant Up
GSTM3,-0.1792,-0.1911,0.901778,0.867487,0.99972,NS,Concordant Down
PCBD2,-0.2763,-0.0935,0.542354,0.94168,0.852377,NS,Concordant Down
CFL2,-0.3536,-0.0161,0.232552,0.998228,0.421778,NS,Concordant Down
RPS11,0.3241,0.0448,0.79631,0.995437,0.883488,NS,Concordant Up
LMOD3,-0.0823,0.2866,0.98268,0.717564,0.717477,NS,HR↓ LR↑
PSMC6,-0.1944,-0.1741,0.74635,0.760054,0.998368,NS,Concordant Down
MCU,-0.0266,-0.3415,0.997944,0.541098,0.75043,NS,Concordant Down
MAN2C1,0.281,0.0867,0.750022,0.969599,0.907977,NS,Concordant Up
OSBP,0.2036,0.1639,0.848735,0.890626,0.99634,NS,Concordant Up
FAHD1,-0.1134,-0.2539,0.959136,0.742056,0.953176,NS,Concordant Down
PSMC1,-0.2014,-0.1659,0.738177,0.791528,0.995052,NS,Concordant Down
NRAP,0.2284,-0.1389,0.837931,0.932352,0.694716,NS,HR↑ LR↓
BCKDHB,0.2723,-0.0947,0.895215,0.985431,0.855951,NS,HR↑ LR↓
LIMS1,0.1244,0.2418,0.946602,0.738364,0.964819,NS,Concordant Up
FHL3,-0.1847,-0.1815,0.904001,0.890832,0.999982,NS,Concordant Down
EHD1,-0.0636,0.3025,0.978559,0.39697,0.44943,NS,HR↓ LR↑
LCP1,0.3326,0.0332,0.841016,0.998243,0.902742,NS,Concordant Up
PRKCSH,-0.221,0.1448,0.745648,0.874979,0.5173,NS,HR↓ LR↑
MYH11,0.3243,-0.0411,0.817091,0.996877,0.827808,NS,HR↑ LR↓
PDLIM3,-0.364,0.0012,0.459628,0.999994,0.587416,NS,HR↓ LR↑
DECR1,0.1632,0.2017,0.794886,0.628387,0.993046,NS,Concordant Up
BSG,0.1751,0.1895,0.790099,0.70791,0.99917,NS,Concordant Up
ARPC4,0.1196,0.2435,0.959304,0.789062,0.967826,NS,Concordant Up
PCBP1,0.2797,0.0828,0.58286,0.960426,0.848402,NS,Concordant Up
SORD,-0.0386,0.3236,0.996578,0.62031,0.731749,NS,HR↓ LR↑
IGHG1,0.0915,-0.2704,0.981921,0.799573,0.775701,NS,HR↑ LR↓
ECHDC2,0.1434,-0.2183,0.958845,0.823278,0.769635,NS,HR↑ LR↓
RCSD1,-0.1978,-0.1633,0.824814,0.861177,0.996626,NS,Concordant Down
RPS27,-0.2338,0.127,0.891492,0.958741,0.797491,NS,HR↓ LR↑
TUBA4A,-0.2585,-0.1023,0.765478,0.960045,0.939799,NS,Concordant Down
PPIB,0.0328,0.3279,0.996406,0.522402,0.750472,NS,Concordant Up
ITGA7,0.2568,-0.1039,0.754887,0.956318,0.652302,NS,HR↑ LR↓
UBA2,0.3542,0.0062,0.552782,0.999862,0.672614,NS,Concordant Up
SHOC2,-0.2732,-0.0872,0.891611,0.979596,0.956933,NS,Concordant Down
PHKG1,0.3561,-0.0042,0.629231,0.999948,0.718512,NS,HR↑ LR↓
DNAJA3,0.3118,0.0482,0.820956,0.994659,0.899384,NS,Concordant Up
FABP4,-0.2355,-0.1245,0.700763,0.905955,0.954928,NS,Concordant Down
ABHD10,-0.2731,0.0867,0.711256,0.968889,0.639857,NS,HR↓ LR↑
SEPTIN7,-0.1153,0.244,0.9519,0.729133,0.641978,NS,HR↓ LR↑
HSD17B10,0.2558,0.1033,0.594172,0.926126,0.897184,NS,Concordant Up
ETFB,0.2113,0.1478,0.735629,0.850751,0.984729,NS,Concordant Up
CA3,-0.1876,0.1714,0.879619,0.882285,0.675982,NS,HR↓ LR↑
MAP2K2,0.2115,0.1468,0.830229,0.905912,0.989459,NS,Concordant Up
CAVIN1,-0.1954,0.1628,0.830235,0.862739,0.592043,NS,HR↓ LR↑
NUBP1,-0.3418,-0.0154,0.750183,0.999335,0.814226,NS,Concordant Down
ANXA5,-0.2062,0.1498,0.800082,0.878693,0.577561,NS,HR↓ LR↑
TNNI2,0.1656,0.1904,0.945579,0.914705,0.999168,NS,Concordant Up
HSPB6,-0.0246,0.3308,0.998136,0.545122,0.666794,NS,HR↓ LR↑
MTAP,-0.3116,-0.0438,0.685661,0.993352,0.825651,NS,Concordant Down
STAT3,-0.2337,0.1214,0.861229,0.948817,0.745666,NS,HR↓ LR↑
PHPT1,-0.164,0.1911,0.915872,0.85598,0.698655,NS,HR↓ LR↑
PSME3,-0.2936,0.061,0.648291,0.984815,0.634937,NS,HR↓ LR↑
CSE1L,-0.2538,-0.1006,0.578544,0.926148,0.889968,NS,Concordant Down
NDUFB3,0.2082,0.146,0.814695,0.895767,0.989219,NS,Concordant Up
TMEM11,0.3241,0.0296,0.576684,0.996467,0.73861,NS,Concordant Up
DDAH2,0.0927,0.2606,0.978091,0.748168,0.94166,NS,Concordant Up
DSTN,0.2788,-0.0745,0.741836,0.980591,0.699174,NS,HR↑ LR↓
USP47,0.3368,0.0153,0.518822,0.998895,0.65266,NS,Concordant Up
PGP,0.2502,-0.1013,0.555826,0.917906,0.406737,NS,HR↑ LR↓
STXBP3,-0.1313,0.2197,0.935243,0.752038,0.636544,NS,HR↓ LR↑
FERMT2,-0.3279,0.0217,0.655134,0.998495,0.711695,NS,HR↓ LR↑
HNRNPA1,0.241,-0.1085,0.833082,0.960962,0.737621,NS,HR↑ LR↓
VPS4B,0.3354,0.014,0.447577,0.999037,0.612008,NS,Concordant Up
WDR1,0.2521,-0.0972,0.643848,0.942153,0.521805,NS,HR↑ LR↓
RPLP0,0.3483,-8e-4,0.577504,0.999998,0.683838,NS,HR↑ LR↓
RPS13,0.0948,-0.2537,0.987983,0.884781,0.868269,NS,HR↑ LR↓
RPL13A,-0.1723,0.1759,0.93937,0.924654,0.81128,NS,HR↓ LR↑
NPEPL1,-0.0314,0.3163,0.996941,0.560527,0.674349,NS,HR↓ LR↑
DMD,-0.1932,0.1544,0.772206,0.830457,0.491881,NS,HR↓ LR↑
KPNA4,-0.238,-0.1093,0.725242,0.936198,0.944699,NS,Concordant Down
SNRPB,-0.1317,0.2154,0.956292,0.839403,0.755708,NS,HR↓ LR↑
MTX2,-0.2425,-0.104,0.894188,0.97924,0.975764,NS,Concordant Down
GMPR,0.2499,0.096,0.805605,0.967364,0.946977,NS,Concordant Up
CACNA1S,-0.0055,-0.3401,0.999876,0.371413,0.592417,NS,Concordant Down
STOM,0.0927,-0.2522,0.985802,0.86863,0.844625,NS,HR↑ LR↓
ECI2,0.2379,0.1068,0.735763,0.941728,0.944559,NS,Concordant Up
MDH2,0.1876,0.1568,0.715728,0.766211,0.995467,NS,Concordant Up
NDUFV3,-0.2278,0.1156,0.87343,0.961984,0.782873,NS,HR↓ LR↑
SCRN3,-0.2248,-0.1184,0.853355,0.950166,0.976433,NS,Concordant Down
ECH1,0.1636,0.1788,0.813575,0.734273,0.999056,NS,Concordant Up
CBR1,0.1278,0.2145,0.92841,0.749373,0.976956,NS,Concordant Up
AK2,0.256,0.0859,0.523948,0.940669,0.845323,NS,Concordant Up
TNNC1,-0.331,0.0099,0.759357,0.999782,0.812025,NS,HR↓ LR↑
CFH,-0.0514,-0.2895,0.994737,0.781675,0.908415,NS,Concordant Down
VDAC3,0.319,-0.0219,0.471985,0.997524,0.551876,NS,HR↑ LR↓
KRAS,-0.1921,0.1486,0.87107,0.906293,0.695275,NS,HR↓ LR↑
ACSS2,0.0319,-0.3084,0.997523,0.630211,0.745962,NS,HR↑ LR↓
MPC2,0.0967,-0.2433,0.966339,0.726695,0.672658,NS,HR↑ LR↓
CLIC5,0.3136,0.0259,0.62797,0.997481,0.768146,NS,Concordant Up
PCBP2,0.1123,0.2268,0.920827,0.598174,0.94044,NS,Concordant Up
ENDOD1,0.1225,-0.2162,0.945078,0.786235,0.677559,NS,HR↑ LR↓
YBX3,-0.1642,0.174,0.860192,0.812708,0.572745,NS,HR↓ LR↑
TPD52L1,0.2449,-0.0931,0.858264,0.980152,0.810988,NS,HR↑ LR↓
PGAM1,-0.2605,-0.0774,0.545851,0.956713,0.834808,NS,Concordant Down
AP2B1,0.1501,-0.1878,0.926287,0.858652,0.71577,NS,HR↑ LR↓
FHOD1,0.2822,0.0557,0.526893,0.980793,0.771311,NS,Concordant Up
NIT1,0.0775,-0.2592,0.977668,0.656635,0.654517,NS,HR↑ LR↓
NUTF2,-0.1311,0.2053,0.905899,0.715164,0.545954,NS,HR↓ LR↑
C8G,-0.0568,0.2794,0.994916,0.844475,0.856921,NS,HR↓ LR↑
HMGB1,-0.1902,-0.1456,0.859051,0.905097,0.994955,NS,Concordant Down
C3,0.0225,-0.3132,0.999021,0.746526,0.817245,NS,HR↑ LR↓
UQCRC1,0.2202,0.1155,0.627828,0.883692,0.943167,NS,Concordant Up
HP,0.2532,-0.0819,0.895888,0.988134,0.864529,NS,HR↑ LR↓
CPNE3,0.1302,-0.2045,0.897463,0.688304,0.510089,NS,HR↑ LR↓
GNG12,-0.2201,-0.1146,0.880901,0.962296,0.980549,NS,Concordant Down
DAG1,0.1032,0.2311,0.967497,0.782413,0.961927,NS,Concordant Up
RPL18A,-0.2828,-0.0514,0.827602,0.993748,0.914333,NS,Concordant Down
RPL12,0.2039,0.13,0.887025,0.948129,0.989885,NS,Concordant Up
PPP2R1A,-0.3293,-0.0045,0.545214,0.999917,0.66929,NS,Concordant Down
TXN,0.0981,-0.2354,0.9618,0.717815,0.654009,NS,HR↑ LR↓
SFXN1,-0.1594,0.1739,0.91927,0.904782,0.755038,NS,HR↓ LR↑
CHMP1B,0.2417,-0.0903,0.877753,0.980638,0.82617,NS,HR↑ LR↓
RPS2,-0.1934,0.1377,0.851026,0.913916,0.680716,NS,HR↓ LR↑
FHL1,-0.2819,-0.0488,0.517583,0.985132,0.751743,NS,Concordant Down
KIF5B,0.1801,0.1503,0.824273,0.857482,0.997028,NS,Concordant Up
CKM,0.2489,0.0813,0.546339,0.94728,0.849856,NS,Concordant Up
LACTB2,0.264,-0.0662,0.804967,0.986379,0.771034,NS,HR↑ LR↓
ATP6V1G1,0.1866,0.1435,0.871051,0.914856,0.995553,NS,Concordant Up
ANK3,0.3195,0.0105,0.688949,0.999664,0.783244,NS,Concordant Up
OXSR1,0.0873,-0.242,0.972668,0.727556,0.68978,NS,HR↑ LR↓
ALDH1L1,0.2902,0.039,0.548117,0.991803,0.746658,NS,Concordant Up
SYPL2,-0.1678,-0.161,0.869588,0.858475,0.999867,NS,Concordant Down
MRPL55,-0.1203,0.2081,0.965737,0.880881,0.806025,NS,HR↓ LR↑
RPL31,0.3281,-1e-4,0.844081,1,0.880717,NS,HR↑ LR↓
COA6,0.2441,0.0835,0.755636,0.969638,0.925448,NS,Concordant Up
PPP2CA,-0.3093,-0.0181,0.384217,0.997892,0.574754,NS,Concordant Down
VPS35,0.0049,0.322,0.999888,0.338883,0.566274,NS,Concordant Up
HSPB3,-0.2706,-0.0561,0.612633,0.984131,0.827223,NS,Concordant Down
OSBPL11,-0.3248,0.0014,0.72992,0.999995,0.792321,NS,HR↓ LR↑
ATP5F1B,0.1149,0.2109,0.886373,0.53617,0.944963,NS,Concordant Up
SMS,-0.2496,-0.0759,0.832573,0.983558,0.942109,NS,Concordant Down
SLMAP,-0.2115,-0.1138,0.822306,0.943082,0.974308,NS,Concordant Down
ERP44,-0.0466,-0.2785,0.99179,0.603246,0.827888,NS,Concordant Down
CHCHD2,-0.084,0.2411,0.98345,0.816402,0.797238,NS,HR↓ LR↑
ENO3,-0.1733,-0.1517,0.819634,0.838101,0.998308,NS,Concordant Down
NDUFC2,0.2433,0.0808,0.81104,0.977849,0.940308,NS,Concordant Up
RAC1,-0.1369,0.1868,0.912378,0.799997,0.63301,NS,HR↓ LR↑
HHATL,-0.0872,-0.2359,0.980454,0.807406,0.955496,NS,Concordant Down
GSTM1,-0.2562,-0.0661,0.940976,0.995406,0.9755,NS,Concordant Down
TLN1,-0.1544,0.1676,0.90293,0.86348,0.684386,NS,HR↓ LR↑
PSMB3,-0.0582,-0.2638,0.989715,0.718953,0.895481,NS,Concordant Down
GGCT,0.0243,-0.2974,0.99782,0.54772,0.66619,NS,HR↑ LR↓
LZIC,0.2335,-0.0875,0.845873,0.973537,0.774511,NS,HR↑ LR↓
DCTN1,0.1317,0.1891,0.913713,0.780976,0.989066,NS,Concordant Up
SLC25A3,0.0313,0.2887,0.996055,0.538445,0.766261,NS,Concordant Up
HNRNPD,-0.183,-0.1368,0.780905,0.858952,0.991304,NS,Concordant Down
CUL5,-0.3014,-0.0179,0.517219,0.998346,0.678881,NS,Concordant Down
DDX39B,0.1827,0.1364,0.896169,0.92685,0.995403,NS,Concordant Up
GRB2,-0.2401,-0.0789,0.633288,0.957884,0.882307,NS,Concordant Down
DEPTOR,0.2599,0.0588,0.718268,0.985239,0.878546,NS,Concordant Up
ATP2A2,-0.1262,-0.1924,0.91013,0.741114,0.983348,NS,Concordant Down
SCCPDH,-0.2077,0.1101,0.778613,0.931264,0.628038,NS,HR↓ LR↑
MYO6,0.1505,0.1673,0.917426,0.878084,0.999335,NS,Concordant Up
TXLNB,-0.2417,-0.0758,0.745474,0.973701,0.915252,NS,Concordant Down
YWHAH,-0.1912,0.1259,0.819114,0.911351,0.64015,NS,HR↓ LR↑
PRKCQ,0.2992,0.0165,0.686736,0.999072,0.794488,NS,Concordant Up
ARPC2,0.0876,0.2277,0.986477,0.840767,0.970515,NS,Concordant Up
FBLN1,-0.2824,-0.0325,0.813577,0.997601,0.896131,NS,Concordant Down
SPG7,-0.0215,0.2932,0.999212,0.792945,0.855681,NS,HR↓ LR↑
SGTA,0.0899,0.2243,0.967423,0.737192,0.944566,NS,Concordant Up
C11orf68,-0.0544,-0.2598,0.985119,0.523091,0.817307,NS,Concordant Down
RAB2A,0.298,0.0161,0.508955,0.998617,0.669399,NS,Concordant Up
ETFRF1,0.0255,0.2885,0.999025,0.834456,0.914482,NS,Concordant Up
GANAB,-0.0517,0.2621,0.991952,0.722767,0.753215,NS,HR↓ LR↑
HSPB1,0.0385,0.2751,0.993341,0.534715,0.781475,NS,Concordant Up
SDHC,0.1885,0.125,0.903256,0.951794,0.992545,NS,Concordant Up
KPNA3,-0.2419,-0.0711,0.751228,0.977627,0.912011,NS,Concordant Down
LRPPRC,0.1093,0.2036,0.905911,0.594708,0.950931,NS,Concordant Up
NDUFAF4,0.004,0.3089,0.999964,0.734748,0.831468,NS,Concordant Up
AKR1C3,0.1615,0.151,0.951788,0.952587,0.999863,NS,Concordant Up
HDGF,0.019,0.2929,0.998591,0.529753,0.737348,NS,Concordant Up
SRP9,0.2302,-0.0816,0.794256,0.972202,0.723405,NS,HR↑ LR↓
CSTB,-0.1748,-0.1365,0.853099,0.896832,0.99552,NS,Concordant Down
COX4I1,0.2897,-0.0216,0.680791,0.998267,0.730159,NS,HR↑ LR↓
HADHA,-0.1811,0.1297,0.718092,0.83291,0.439674,NS,HR↓ LR↑
DYNC1H1,0.1146,0.1962,0.916483,0.693608,0.970815,NS,Concordant Up
PYGB,0.2326,0.0777,0.739378,0.969398,0.918844,NS,Concordant Up
LUM,-0.1567,0.1534,0.919953,0.909801,0.762978,NS,HR↓ LR↑
CAPN3,0.2465,-0.0631,0.826555,0.988101,0.799046,NS,HR↑ LR↓
MYH9,-0.1458,0.1637,0.917109,0.874834,0.717469,NS,HR↓ LR↑
BAG3,0.245,0.0643,0.805631,0.986031,0.924562,NS,Concordant Up
DAD1,0.2294,-0.0795,0.850518,0.978781,0.791967,NS,HR↑ LR↓
CYCS,0.0252,0.2835,0.997671,0.59005,0.785739,NS,Concordant Up
GSK3B,-0.0956,-0.2121,0.97471699999999994,0.832406,0.971209,NS,Concordant Down
MAP2K6,-0.1036,-0.2038,0.953437,0.770726,0.968394,NS,Concordant Down
AK3,-0.0932,0.2134,0.965707,0.768144,0.705034,NS,HR↓ LR↑
WARS1,-0.2775,0.0289,0.575377,0.995505,0.621623,NS,HR↓ LR↑
NEK7,0.1148,-0.1912,0.962901,0.872629,0.793777,NS,HR↑ LR↓
SDHA,0.1177,0.188,0.889389,0.651283,0.973747,NS,Concordant Up
VAPB,0.1131,-0.1923,0.960117,0.856596,0.772464,NS,HR↑ LR↓
PCCB,0.0077,0.2973,0.999758,0.494622,0.691797,NS,Concordant Up
EIF6,-0.1626,-0.1424,0.900003,0.902349,0.99898,NS,Concordant Down
KLHL40,0.213,0.092,0.892506,0.978065,0.975544,NS,Concordant Up
METTL26,0.0978,-0.2072,0.974082,0.832487,0.789701,NS,HR↑ LR↓
APOOL,0.2127,-0.0913,0.774399,0.9553,0.666993,NS,HR↑ LR↓
NAPRT,-0.0894,0.2141,0.977867,0.82808,0.791218,NS,HR↓ LR↑
METTL7A,0.1234,-0.18,0.94513,0.856314,0.743486,NS,HR↑ LR↓
ACTR1B,-0.2163,0.087,0.814849,0.968166,0.734934,NS,HR↓ LR↑
SQOR,0.2085,0.0948,0.873545,0.967371,0.972362,NS,Concordant Up
TMOD1,-0.2613,0.0414,0.883786,0.996504,0.878219,NS,HR↓ LR↑
COASY,-0.2749,-0.0277,0.82260200000000006,0.99808,0.893225,NS,Concordant Down
EIF3A,0.1647,0.1372,0.861213,0.888277,0.99758,NS,Concordant Up
AIMP1,0.1565,-0.1452,0.879594,0.878206,0.668334,NS,HR↑ LR↓
ECPAS,-0.1639,0.1373,0.837716,0.867573,0.603365,NS,HR↓ LR↑
COX17,0.2075,0.0926,0.855324,0.968752,0.969257,NS,Concordant Up
SBDS,-0.2525,-0.047,0.68384,0.989072,0.848513,NS,Concordant Down
PLIN3,-0.0088,0.2903,0.999658,0.476244,0.643398,NS,HR↓ LR↑
PPIF,0.0802,0.2182,0.96594,0.668213,0.921812,NS,Concordant Up
FKBP1A,-0.1665,-0.1319,0.829873,0.876659,0.995464,NS,Concordant Down
FLNB,-0.2294,-0.0688,0.738177,0.975633,0.909462,NS,Concordant Down
PLCD4,-0.1844,-0.1138,0.829021,0.927222,0.983556,NS,Concordant Down
IGHA1,0.0997,-0.1982,0.983055,0.917682,0.881028,NS,HR↑ LR↓
CAP2,-0.151,-0.1453,0.926245,0.919812,0.999932,NS,Concordant Down
HSPD1,0.101,0.1947,0.934081,0.68755,0.95947,NS,Concordant Up
MAPT,-0.2591,-0.0362,0.717933,0.994557,0.848682,NS,Concordant Down
HSP90AA1,0.1762,0.1186,0.812426,0.903943,0.987198,NS,Concordant Up
NME1,0.2118,0.083,0.883978,0.980717,0.969731,NS,Concordant Up
ETFA,0.0786,0.2159,0.956804,0.574379,0.897124,NS,Concordant Up
ACTR1A,-0.1598,0.1337,0.841584,0.871038,0.611657,NS,HR↓ LR↑
PSMD2,0.2351,0.0579,0.683759,0.980503,0.871699,NS,Concordant Up
RIDA,-0.1037,-0.1887,0.926367,0.690442,0.965266,NS,Concordant Down
PRMT1,0.1066,-0.1856,0.958456,0.842145,0.754814,NS,HR↑ LR↓
SEC22B,-0.2181,0.0738,0.827663,0.978082,0.768575,NS,HR↓ LR↑
S100A4,0.2884,0.0032,0.841242,0.999981,0.885881,NS,Concordant Up
UQCRFS1,0.175,0.1163,0.829681,0.915271,0.987644,NS,Concordant Up
UFM1,-0.0911,-0.2001,0.971419,0.813898,0.968854,NS,Concordant Down
TIMM21,0.1829,-0.1082,0.884268,0.959232,0.791417,NS,HR↑ LR↓
TMEM205,0.0987,-0.1924,0.964949,0.830947,0.758239,NS,HR↑ LR↓
TRIP10,-0.1914,-0.0995,0.834074,0.950914,0.974235,NS,Concordant Down
GSTO1,-0.1161,-0.1745,0.940697,0.833573,0.989714,NS,Concordant Down
DDOST,0.0107,-0.2795,0.999584,0.592581,0.724264,NS,HR↑ LR↓
ADPRH,0.2034,0.0867,0.920988,0.983408,0.981104,NS,Concordant Up
CCDC22,0.0187,0.2714,0.999503,0.844526,0.922093,NS,Concordant Up
EIF4A1,-0.1374,-0.1521,0.882448,0.826381,0.999172,NS,Concordant Down
IGKC,0.119,-0.1704,0.970491,0.926921,0.864164,NS,HR↑ LR↓
MAP2K3,-0.1364,-0.1528,0.904037,0.855104,0.999131,NS,Concordant Down
CHP1,-0.2847,0.0045,0.707286,0.999932,0.779729,NS,HR↓ LR↑
RNF126,0.1564,-0.1325,0.902996,0.915393,0.746465,NS,HR↑ LR↓
UBE2V2,-0.2249,0.0622,0.705994,0.977027,0.654838,NS,HR↓ LR↑
NDUFAB1,-0.0826,-0.2044,0.976948,0.817367,0.961917,NS,Concordant Down
DIABLO,-0.0543,0.2323,0.988928,0.725128,0.741443,NS,HR↓ LR↑
PRMT5,0.2059,0.0803,0.781699,0.962658,0.942657,NS,Concordant Up
ESYT1,0.063,-0.2232,0.991463,0.837226,0.847635,NS,HR↑ LR↓
PRKAG1,-0.1263,0.1598,0.929679,0.862847,0.723063,NS,HR↓ LR↑
NME2,-0.093,0.1929,0.960469,0.780926,0.703168,NS,HR↓ LR↑
NOL3,-0.0807,-0.2046,0.970636,0.752363,0.947209,NS,Concordant Down
OPA1,-0.203,0.0816,0.861565,0.976005,0.79891,NS,HR↓ LR↑
COQ6,-0.2436,-0.0409,0.723858,0.992295,0.862323,NS,Concordant Down
OCIAD1,0.2298,0.0547,0.841967,0.990704,0.93442,NS,Concordant Up
EPRS1,-0.0021,0.2817,0.999974,0.355666,0.564903,NS,HR↓ LR↑
QDPR,0.0921,-0.1917,0.94644,0.699906,0.60297,NS,HR↑ LR↓
ATAD1,0.2154,0.0681,0.825568,0.981782,0.942606,NS,Concordant Up
PFDN6,0.2471,0.0362,0.721399,0.994137,0.853374,NS,Concordant Up
CRYAB,-0.2106,-0.0725,0.766276,0.971093,0.930206,NS,Concordant Down
TPM3,-0.2322,0.0509,0.907222,0.99524,0.897587,NS,HR↓ LR↑
UBE2N,-0.2142,-0.0685,0.623436,0.959772,0.876974,NS,Concordant Down
AHCY,-0.228,-0.0546,0.666541,0.980702,0.862264,NS,Concordant Down
MCCC2,0.1626,0.12,0.933274,0.949987,0.996666,NS,Concordant Up
CLIC1,0.0821,0.2003,0.983456,0.867093,0.97335,NS,Concordant Up
NDUFA10,0.2133,0.0691,0.812228,0.97941,0.939904,NS,Concordant Up
CAPZA2,-0.0672,0.2152,0.985999,0.811042,0.797196,NS,HR↓ LR↑
BIN3,-0.1139,0.1678,0.975653,0.929485,0.879233,NS,HR↓ LR↑
PDCD6,0.2404,0.0411,0.783086,0.993074,0.888876,NS,Concordant Up
VCP,-0.1947,-0.0867,0.744008,0.945643,0.946854,NS,Concordant Down
RAB7A,0.1808,0.1005,0.753249,0.915792,0.968388,NS,Concordant Up
DMAC2L,0.1051,0.1762,0.969582,0.888549,0.989799,NS,Concordant Up
SLC25A20,0.1267,-0.1534,0.93849,0.891056,0.768171,NS,HR↑ LR↓
DDX1,-0.2321,0.0474,0.767975,0.990276,0.754755,NS,HR↓ LR↑
HPRT1,-0.0921,-0.1871,0.979331,0.887754,0.983385,NS,Concordant Down
ABCF3,0.2485,-0.0306,0.848337,0.997345,0.851687,NS,HR↑ LR↓
SNTB1,0.106,0.1728,0.972226,0.904563,0.991906,NS,Concordant Up
PLIN5,-0.1036,-0.1748,0.97558,0.921539,0.991917,NS,Concordant Down
PTGR1,0.2519,-0.026,0.779117,0.99769,0.80359,NS,HR↑ LR↓
CUL2,-0.2126,0.0649,0.736719,0.974454,0.674088,NS,HR↓ LR↑
PPP1R2,0.1049,0.1724,0.976274,0.874148,0.991768,NS,Concordant Up
GLRX,0.0095,-0.2676,0.999751,0.718882,0.812566,NS,HR↑ LR↓
MECR,0.2244,0.0524,0.848099,0.990999,0.93486,NS,Concordant Up
BIN1,-0.193,-0.0835,0.744111,0.948924,0.944379,NS,Concordant Down
DYNC1LI1,0.0563,-0.2199,0.990122,0.791408,0.799673,NS,HR↑ LR↓
CYB5R1,-0.1335,0.1425,0.904726,0.870198,0.692278,NS,HR↓ LR↑
ACYP2,0.1383,-0.1373,0.916939,0.903176,0.749043,NS,HR↑ LR↓
SMTNL1,-0.245,-0.0301,0.794019,0.996921,0.885438,NS,Concordant Down
PRKAR1A,-0.2077,0.0671,0.714017,0.969239,0.640365,NS,HR↓ LR↑
RNH1,-0.1717,-0.1031,0.782819,0.912903,0.977803,NS,Concordant Down
ATP1B1,0.0815,0.1928,0.972054,0.795886,0.960655,NS,Concordant Up
SYNJ2BP,0.1009,0.1728,0.943141,0.787832,0.979792,NS,Concordant Up
MYOT,0.1663,0.107,0.954843,0.978776,0.995939,NS,Concordant Up
CBR4,0.1579,-0.1152,0.902673,0.945877,0.788963,NS,HR↑ LR↓
PPME1,0.1594,0.1127,0.941496,0.966234,0.996518,NS,Concordant Up
TMEM43,-0.0414,0.2301,0.995579,0.82379,0.843623,NS,HR↓ LR↑
MACROD1,-0.2176,-0.0535,0.733651,0.983845,0.892801,NS,Concordant Down
TAGLN2,0.0452,0.2254,0.992969,0.760879,0.90754,NS,Concordant Up
HINT2,0.0945,0.176,0.967231,0.855928,0.98229,NS,Concordant Up
MYH7,0.2203,-0.0501,0.918876,0.995498,0.909066,NS,HR↑ LR↓
CUTA,-0.0762,-0.1937,0.972073,0.761001,0.949107,NS,Concordant Down
PSAP,-0.1207,-0.149,0.947228,0.90286,0.998065,NS,Concordant Down
PSMF1,0.1849,0.0846,0.896362,0.977206,0.979118,NS,Concordant Up
OPLAH,0.142,-0.1274,0.930298,0.93703,0.811579,NS,HR↑ LR↓
GPD1,-0.063,-0.2062,0.980679,0.719545,0.920139,NS,Concordant Down
RAB18,0.1881,0.0809,0.872559,0.974257,0.971204,NS,Concordant Up
