pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,Regulation Of DNA Binding Transcription Fa...,GO:BP,-1.153,-1.325,0.6905,0.6721,NS,21
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,Cellular Response To Type Ii Interferon,GO:BP,-0.861,1.616,0.9455,0.3444,NS,20
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.525,0.952,0.07598,0.9554,NS,98
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,-1.271,1.206,0.469,0.5738,NS,35
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,Negative Regulation Of Actin Filament Depo...,GO:BP,-1.231,-1.242,0.6474,0.7359,NS,15
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Negative Regulation Of Protein Polymerization,GO:BP,-1.108,-1.364,0.741,0.6285,NS,21
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,Cellular Response To Insulin Stimulus,GO:BP,-1.173,1.299,0.6528,0.6285,NS,42
GOBP_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO:BP,1.222,-1.25,0.5751,0.6721,NS,53
GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Regulation Of Extrinsic Apoptotic Signalin...,GO:BP,-1.294,-1.178,0.5503,0.7962,NS,24
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,RNA Splicing Via Transesterification React...,GO:BP,-1.166,-1.306,0.6571,0.6285,NS,42
GOBP_TELENCEPHALON_DEVELOPMENT,Telencephalon Development,GO:BP,-1.466,-1.006,0.338,0.9093,NS,25
GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,Positive Regulation Of Transmembrane Trans...,GO:BP,-1.249,-1.22,0.5774,0.7174,NS,37
GOBP_CARDIAC_CONDUCTION,Cardiac Conduction,GO:BP,-1.226,-1.24,0.6405,0.7308,NS,22
GOBP_RETROGRADE_TRANSPORT_ENDOSOME_TO_GOLGI,Retrograde Transport Endosome To Golgi,GO:BP,1.124,1.338,0.7204,0.6402,NS,21
GOBP_RESPONSE_TO_OXYGEN_LEVELS,Response To Oxygen Levels,GO:BP,0.942,-1.519,0.8831,0.3444,NS,65
GOBP_NEGATIVE_REGULATION_OF_TRANSLATION,Negative Regulation Of Translation,GO:BP,-1.414,-1.045,0.3549,0.8863,NS,31
GOBP_AUTOPHAGOSOME_MATURATION,Autophagosome Maturation,GO:BP,-1.265,-1.193,0.601,0.7962,NS,16
