"engine","module","trait","model","n","beta_std","r2","p","p_bh"
"mfuzz","c4","d_myovision_fcsa_I","baseline",15,-0.102847851751611,0.0105776806099213,0.71530481370909,0.998961668261752
"mfuzz","c4","d_myovision_fcsa_I","tracks",16,-0.169858275300314,0.170249287125061,0.334011043686605,0.914899815315483
"wgcna","blue","comp_hypertrophy","acute",15,0.742768918048676,0.551705665619201,0.00151250471295019,0.142931695373793
"wgcna","blue","comp_hypertrophy","baseline",15,-0.332220607210421,0.110370531855261,0.226356416771777,0.731821780571905
"wgcna","blue","comp_hypertrophy","tracks",16,0.0029971599297831,0.181965633182191,0.983177989882753,0.998961668261752
"wgcna","blue","d_1rm_ext","acute",14,0.146639616487465,0.0215031771235909,0.616906902093435,0.998961668261752
"wgcna","blue","d_1rm_ext","baseline",14,-0.494772045018319,0.244799376531609,0.0720722699388636,0.585796459092599
"wgcna","blue","d_1rm_ext","tracks",15,-0.0143450490002547,0.173842056001967,0.923256511951788,0.998961668261752
"wgcna","blue","d_1rm_legpress","acute",15,-0.112592922434392,0.0126771661823171,0.689514469208574,0.998961668261752
"wgcna","blue","d_1rm_legpress","baseline",15,-0.00896271416758678,8.03302452498596e-05,0.974710299337698,0.998961668261752
"wgcna","blue","d_1rm_legpress","tracks",16,0.00572178906314451,0.181989339933588,0.967910561489086,0.998961668261752
"wgcna","blue","d_fcsa_I","acute",15,0.474230934548324,0.224894979282577,0.0741040618994097,0.585796459092599
"wgcna","blue","d_fcsa_I","baseline",15,-0.0455199996791664,0.0020720703707913,0.872025913840442,0.998961668261752
"wgcna","blue","d_fcsa_I","tracks",16,0.00191625137618879,0.181960325575007,0.989242877844825,0.998961668261752
"wgcna","blue","d_fcsa_II","acute",15,0.48238926907446,0.232699406918192,0.0685873902218474,0.585796459092599
"wgcna","blue","d_fcsa_II","baseline",15,-0.120094267242146,0.0144226330244279,0.669874332470166,0.998961668261752
"wgcna","blue","d_fcsa_II","tracks",16,0.00285932199714439,0.181964826625207,0.983951201208328,0.998961668261752
"wgcna","blue","d_mcsa","acute",15,0.430114567781195,0.184998541417604,0.109540216512144,0.592213702791083
"wgcna","blue","d_mcsa","baseline",15,-0.458970363589622,0.21065379465359,0.0852658040885004,0.585796459092599
"wgcna","blue","d_mcsa","tracks",16,-0.000657966452028246,0.18195708713692,0.996306028538009,0.998961668261752
"wgcna","blue","d_myovision_fcsa_I","acute",15,-0.50785262226149,0.257914285937872,0.0532743139632649,0.585796459092599
