gene,logFC,neg_log10_p,pi_score,adj_pval,direction
HSPH1,0.4376,0.6398,0.52478,0.821092,NS
PEA15,-0.6813,0.41,0.525609,0.9345,NS
DNPH1,-0.4242,0.6551,0.527384,0.820806,NS
XPO1,-0.3721,0.7407,0.530096,0.787866,NS
CSRP3,-0.3409,0.8028,0.532553,0.759943,NS
TIMMDC1,-0.522,0.5239,0.532754,0.899186,NS
CHMP2A,0.2976,0.9135,0.534692,0.710993,NS
NHLRC2,-0.3444,0.7876,0.535507,0.763876,NS
CAV1,-0.3955,0.6822,0.537226,0.812308,NS
MRPS36,0.3587,0.7433,0.541225,0.787866,NS
OXCT1,-0.6074,0.4379,0.542016,0.918927,NS
HIGD1A,0.485,0.5469,0.542966,0.893935,NS
MAP3K20,0.2542,1.0417,0.543453,0.665728,NS
STAC3,-0.3366,0.7845,0.544486,0.763876,NS
IMPDH2,0.2712,0.9718,0.545134,0.678799,NS
UBAP2L,-0.5394,0.4879,0.545502,0.908415,NS
ZYX,0.3289,0.8003,0.545505,0.759943,NS
LANCL1,-0.3129,0.8386,0.546524,0.753883,NS
RPS13,-0.568,0.4617,0.546669,0.914796,NS
ANXA1,0.4742,0.5497,0.548682,0.892391,NS
TBCB,-0.3014,0.8605,0.550353,0.736831,NS
NDUFA11,0.391,0.663,0.550495,0.820806,NS
SNRPG,0.4505,0.5754,0.550562,0.872839,NS
KLHL40,0.4042,0.6381,0.552175,0.822831,NS
BROX,0.344,0.7482,0.55283,0.786039,NS
PPP1R2,0.3536,0.7266,0.553454,0.79123,NS
TSG101,0.3327,0.7711,0.553927,0.772264,NS
ATP2A3,0.3093,0.8278,0.554594,0.759943,NS
MICOS13,0.3738,0.6828,0.555627,0.812308,NS
NUDT2,-0.4159,0.6113,0.556894,0.837882,NS
SND1,-0.4797,0.5281,0.55809,0.899186,NS
AP1G1,0.3864,0.6523,0.559701,0.820806,NS
BLVRA,0.2484,1.0147,0.55974,0.665728,NS
RPL31,-0.5365,0.4696,0.559859,0.914796,NS
COL4A2,-0.5623,0.4476,0.56012,0.918927,NS
CALU,-0.2498,1.0057,0.560829,0.665728,NS
PYGM,-0.2107,1.1792,0.564316,0.618241,NS
PLCL2,-0.4956,0.5009,0.564592,0.900855,NS
CAPN2,-0.3126,0.7926,0.565205,0.762566,NS
SHOC2,0.3667,0.6726,0.566695,0.814478,NS
THY1,-0.6002,0.4105,0.567057,0.9345,NS
RPS28,0.4201,0.5853,0.567697,0.863505,NS
COPS4,-0.232,1.0552,0.569068,0.665728,NS
ACTN1,0.6558,0.3733,0.569079,0.939522,NS
ACP1,0.2815,0.8677,0.56981,0.730276,NS
PPCS,0.3713,0.6551,0.571171,0.820806,NS
GAA,-0.3935,0.617,0.571801,0.837882,NS
FAM98A,-0.376,0.6452,0.572011,0.820806,NS
NRAP,0.3458,0.7012,0.5722,0.80192,NS
FXYD1,-0.4998,0.4846,0.572557,0.908415,NS
TPM3,0.4711,0.5113,0.574234,0.899186,NS
PYURF,-0.5651,0.425,0.575165,0.927297,NS
