gene,logFC_Acute_HR,logFC_Acute_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
PPP3R1,-0.305,0.153,0.571812,0.873118,0.366909,NS,HR↓ LR↑
GMFB,0.3088,0.1491,0.801893,0.962258,0.967796,NS,Concordant Up
CRYAB,0.3295,-0.1281,0.462265,0.902438,0.316982,NS,HR↑ LR↓
BCAP31,0.0659,-0.3908,0.990912,0.630915,0.667642,NS,HR↑ LR↓
TMOD4,0.177,0.2788,0.942759,0.828767,0.986421,NS,Concordant Up
TOLLIP,0.2293,-0.2264,0.767036,0.718024,0.390301,NS,HR↑ LR↓
COQ9,-0.1908,-0.2645,0.761665,0.48222,0.977018,NS,Concordant Down
TRAP1,-0.2591,-0.1956,0.581128,0.712835,0.983723,NS,Concordant Down
SFXN1,-0.4268,-0.027,0.493899,0.99777,0.653463,NS,Concordant Down
CRYZ,-0.1929,-0.2601,0.873278,0.725016,0.989693,NS,Concordant Down
GNA11,-0.2459,0.2068,0.833298,0.855395,0.592574,NS,HR↓ LR↑
RTRAF,0.3113,-0.1413,0.724908,0.937432,0.59238,NS,HR↑ LR↓
TOM1L2,-0.0296,-0.4225,0.997365,0.382741,0.62254,NS,Concordant Down
ATP5MF,0.104,0.3469,0.966244,0.541405,0.855565,NS,Concordant Up
PEPD,-0.2956,0.1552,0.695862,0.902595,0.509727,NS,HR↓ LR↑
COASY,0.4183,-0.032,0.601947,0.997439,0.651835,NS,HR↑ LR↓
EIF4G2,0.2291,0.2204,0.878256,0.865896,0.999884,NS,Concordant Up
TIMM9,-0.2615,0.1875,0.831076,0.886724,0.627206,NS,HR↓ LR↑
TNPO1,0.3632,-0.0856,0.684164,0.988872,0.738588,NS,HR↑ LR↓
ESYT1,0.1534,0.2953,0.943885,0.714448,0.963235,NS,Concordant Up
GNG12,-0.237,-0.2112,0.854087,0.864502,0.99887,NS,Concordant Down
NDUFA12,-0.3369,-0.1112,0.566396,0.946534,0.854598,NS,Concordant Down
CDC42,0.2727,-0.1747,0.752134,0.882796,0.537441,NS,HR↑ LR↓
CHMP6,-0.3751,-0.0723,0.515558,0.981447,0.764486,NS,Concordant Down
TMEM11,-0.4248,-0.0215,0.34783,0.998152,0.532632,NS,Concordant Down
PDHB,-0.2751,-0.1701,0.474216,0.750931,0.945896,NS,Concordant Down
ACAT1,-0.2925,-0.1522,0.510538,0.840141,0.918462,NS,Concordant Down
RPL13,0.3827,0.0617,0.607952,0.989894,0.799685,NS,Concordant Up
PPIF,-0.379,0.0652,0.284485,0.974129,0.290844,NS,HR↓ LR↑
AARSD1,-0.3614,0.0818,0.611921,0.97836,0.580152,NS,HR↓ LR↑
GLRX3,-0.4314,-0.01,0.378393,0.999641,0.536333,NS,Concordant Down
SPG7,0.0475,-0.3925,0.995006,0.549942,0.649154,NS,HR↑ LR↓
DDAH1,-0.3692,0.0708,0.460076,0.977803,0.449547,NS,HR↓ LR↑
PFN2,0.2868,0.15310000000000001,0.673237,0.893044,0.950492,NS,Concordant Up
NDUFV1,-0.2723,-0.1671,0.669252,0.855012,0.96646,NS,Concordant Down
TMEM143,0.2849,-0.154,0.789596,0.926799,0.635857,NS,HR↑ LR↓
FBLN1,-0.3128,0.1253,0.771473,0.961531,0.68418,NS,HR↓ LR↑
ENOPH1,-0.3469,0.0907,0.497188,0.961224,0.438456,NS,HR↓ LR↑
NDUFA7,-0.4336,0.0038,0.537965,0.999963,0.645636,NS,HR↓ LR↑
NDUFA5,0.1232,-0.313,0.946264,0.57708,0.508957,NS,HR↑ LR↓
PPIL1,0.1653,0.2704,0.896167,0.665658,0.970731,NS,Concordant Up
AIFM1,-0.3215,-0.1134,0.27000999999999997,0.877746,0.736639,NS,Concordant Down
OGDH,-0.241,-0.1936,0.484879,0.59349,0.987409,NS,Concordant Down
DDT,0.0111,0.4233,0.999736,0.52459,0.700103,NS,Concordant Up
NT5C,0.039,-0.3954,0.997322,0.658395,0.733652,NS,HR↑ LR↓
DUSP3,-0.4092,-0.0249,0.1193,0.995614,0.300454,NS,Concordant Down
NRAP,0.0951,0.3383,0.974025,0.590209,0.865655,NS,Concordant Up
LAP3,0.1851,-0.2477,0.878582,0.739461,0.531984,NS,HR↑ LR↓
EIF6,0.2467,0.1857,0.786463,0.847157,0.99113,NS,Concordant Up
MPC2,-0.2628,0.1692,0.729301,0.87046,0.499166,NS,HR↓ LR↑
PKM,-0.3432,-0.0887,0.28434,0.939121,0.665019,NS,Concordant Down
VAT1,0.2618,0.1698,0.848461,0.923419,0.986846,NS,Concordant Up
PSMD4,-0.3306,-0.0997,0.379926,0.931881,0.757143,NS,Concordant Down
PTGES3,-0.1494,0.2809,0.927398,0.687177,0.561608,NS,HR↓ LR↑
COX6C,-0.1264,-0.3038,0.953596,0.668568,0.930979,NS,Concordant Down
ACTA1,0.4099,-0.0201,0.632293,0.999083,0.699656,NS,HR↑ LR↓
VPS13C,-0.3621,0.0659,0.53402,0.986648,0.574228,NS,HR↓ LR↑
LAMTOR3,0.2085,0.2192,0.78171,0.69632,0.999644,NS,Concordant Up
ATP2A3,-0.1412,0.2859,0.920999,0.607969,0.486236,NS,HR↓ LR↑
STX7,0.2752,-0.1514,0.700586,0.904813,0.52034,NS,HR↑ LR↓
GBE1,0.2366,-0.1898,0.812923,0.859944,0.572382,NS,HR↑ LR↓
PTBP1,0.1385,0.2876,0.973418,0.811979,0.974528,NS,Concordant Up
DYNC1H1,0.2313,-0.1942,0.641499,0.699816,0.270138,NS,HR↑ LR↓
ATP5ME,-0.3522,-0.0721,0.306158,0.964808,0.633641,NS,Concordant Down
DTNA,-0.2914,-0.1321,0.638376,0.918619,0.924236,NS,Concordant Down
SLC25A24,-0.3751,-0.0479,0.490976,0.992424,0.72366,NS,Concordant Down
ATAD3A,-0.3532,0.0697,0.545458,0.980499,0.528317,NS,HR↓ LR↑
METAP2,0.1721,0.2506,0.9102,0.778464,0.987349,NS,Concordant Up
DLAT,-0.3746,-0.048,0.24823,0.985033,0.514383,NS,Concordant Down
CALM1,0.2062,0.2157,0.800584,0.741782,0.999743,NS,Concordant Up
MYH14,0.2035,-0.2183,0.7784,0.698501,0.381854,NS,HR↑ LR↓
SMYD2,-0.0946,0.3271,0.980119,0.694065,0.689082,NS,HR↓ LR↑
KLHL40,0.0283,0.3923,0.998323,0.580677,0.766987,NS,Concordant Up
SMTNL1,-0.4002,0.02,0.484564,0.998658,0.57385,NS,HR↓ LR↑
PCBD1,-0.3344,-0.085,0.408906,0.955661,0.73954,NS,Concordant Down
HSPD1,-0.2518,-0.1675,0.566514,0.769648,0.967619,NS,Concordant Down
STUB1,0.413,-0.0062,0.389298,0.99985,0.506597,NS,HR↑ LR↓
ATP5MC2,0.1501,0.2688,0.972479,0.911893,0.988343,NS,Concordant Up
RPS2,0.1188,-0.3,0.946633,0.582377,0.513393,NS,HR↑ LR↓
NOL3,-0.3917,0.0269,0.331042,0.996512,0.41863,NS,HR↓ LR↑
TMLHE,-0.1827,0.2355,0.880664,0.751159,0.547905,NS,HR↓ LR↑
POLDIP2,-0.3373,-0.0797,0.796615,0.985931,0.908164,NS,Concordant Down
PSMC4,0.1483,-0.2681,0.857137,0.46439,0.295011,NS,HR↑ LR↓
IQGAP1,0.2916,-0.1243,0.767965,0.952625,0.658756,NS,HR↑ LR↓
FHL1,0.1567,-0.259,0.84825,0.517399,0.32115,NS,HR↑ LR↓
ATP2B4,-0.0418,0.3733,0.995153,0.499355,0.608224,NS,HR↓ LR↑
DYNC1I2,0.2099,-0.2052,0.780415,0.752243,0.428401,NS,HR↑ LR↓
AFG3L2,-0.3475,-0.0672,0.355995,0.972044,0.66035,NS,Concordant Down
PDHX,-0.3891,0.0255,0.317589,0.996753,0.40823,NS,HR↓ LR↑
PSMB1,-0.2263,0.1882,0.650705,0.713231,0.285606,NS,HR↓ LR↑
TSPO,-0.2302,-0.1842,0.886896,0.91628,0.99694,NS,Concordant Down
GPX4,-0.156,0.2582,0.889534,0.635696,0.459436,NS,HR↓ LR↑
TFG,-0.149,-0.2646,0.90291,0.769717,0.967914,NS,Concordant Down
MAP4,0.3826,0.0308,0.316317,0.995049,0.532407,NS,Concordant Up
DHRS7B,-0.181,0.2323,0.889388,0.78126,0.584675,NS,HR↓ LR↑
ANXA4,0.3805,0.0325,0.486458,0.996074,0.670337,NS,Concordant Up
RAB10,0.2788,-0.1341,0.789959,0.94574,0.668176,NS,HR↑ LR↓
GNAS,0.0221,-0.3908,0.998317,0.32083,0.503154,NS,HR↑ LR↓
RAB14,-0.1204,0.2921,0.958036,0.654206,0.609414,NS,HR↓ LR↑
AKR1B1,0.0455,-0.3669,0.993878,0.490762,0.590774,NS,HR↑ LR↓
IMPDH2,0.1485,0.2637,0.883381,0.562455,0.950781,NS,Concordant Up
CNPY2,-0.2935,0.1183,0.751702,0.956767,0.65346,NS,HR↓ LR↑
NDUFAF3,-0.4035,0.008,0.41026,0.999748,0.521974,NS,HR↓ LR↑
PDHA1,-0.4096,0.0015,0.229992,0.999989,0.372638,NS,HR↓ LR↑
TXLNB,-0.242,-0.1691,0.74492,0.855741,0.984833,NS,Concordant Down
SH3GLB1,0.3446,-0.0654,0.532286,0.981839,0.522944,NS,HR↑ LR↓
ACO1,-0.2035,-0.2064,0.817471,0.777915,0.999978,NS,Concordant Down
PPP2R5A,-0.198,-0.2116,0.913669,0.881898,0.999729,NS,Concordant Down
APOOL,-0.3966,0.0125,0.322262,0.999276,0.44104,NS,HR↓ LR↑
AKR1A1,0.4044,0.0046,0.382678,0.999918,0.531459,NS,Concordant Up
VBP1,-0.2113,-0.1976,0.841811,0.837445,0.99958,NS,Concordant Down
TCP1,-0.0033,0.4055,0.999958,0.238454,0.451779,NS,HR↓ LR↑
FLNA,0.3127,-0.0959,0.605177,0.959134,0.524426,NS,HR↑ LR↓
RPS24,-0.0383,-0.3694,0.996881,0.622622,0.806249,NS,Concordant Down
CACNB3,-0.1073,0.2996,0.94182,0.458071,0.407964,NS,HR↓ LR↑
UNC45B,0.2659,-0.1409,0.684915,0.899225,0.493538,NS,HR↑ LR↓
FYCO1,-0.1782,-0.2285,0.892898,0.785396,0.994292,NS,Concordant Down
MAOB,-0.3487,-0.0577,0.565702,0.987409,0.771867,NS,Concordant Down
HSPB2,0.2935,-0.1125,0.516553,0.918085,0.377701,NS,HR↑ LR↓
CLTC,0.2801,0.1252,0.598983,0.90852,0.9124,NS,Concordant Up
PLAA,0.1384,-0.2669,0.92084,0.640514,0.511105,NS,HR↑ LR↓
MOCS2,0.3493,-0.0558,0.792095,0.994555,0.797398,NS,HR↑ LR↓
VTA1,-0.1476,-0.257,0.879029,0.57857,0.954534,NS,Concordant Down
IDH3A,-0.3504,0.0542,0.275186,0.979302,0.295121,NS,HR↓ LR↑
CDV3,0.3259,0.0786,0.689728,0.98042,0.868018,NS,Concordant Up
SAMM50,-0.3965,-0.0063,0.371288,0.999837,0.525381,NS,Concordant Down
EPRS1,-0.0884,-0.3132,0.945657,0.260613,0.720489,NS,Concordant Down
ACOT2,-0.2271,-0.1744,0.668962,0.769552,0.988825,NS,Concordant Down
QDPR,-0.3226,0.0786,0.357092,0.954878,0.310238,NS,HR↓ LR↑
FABP3,0.0551,-0.346,0.987599,0.394941,0.482673,NS,HR↑ LR↓
RAN,0.1928,0.2081,0.745468,0.650606,0.999067,NS,Concordant Up
ARHGDIA,0.2926,0.1082,0.49502,0.92015,0.8496,NS,Concordant Up
RDH14,0.1965,-0.2029,0.903928,0.886454,0.714207,NS,HR↑ LR↓
MAPK12,-0.095,-0.304,0.969157,0.601832,0.88259,NS,Concordant Down
PRUNE1,0.115,-0.2836,0.961462,0.668575,0.628941,NS,HR↑ LR↓
VPS26A,-0.124,0.2739,0.938471,0.629286,0.533589,NS,HR↓ LR↑
IMPA1,-0.3225,-0.0751,0.557054,0.974006,0.804344,NS,Concordant Down
FXR1,-0.1686,0.2285,0.912012,0.808591,0.64336,NS,HR↓ LR↑
SDHA,-0.2251,-0.1718,0.582274,0.708231,0.985316,NS,Concordant Down
DNAJA3,-0.0625,0.3344,0.992388,0.701936,0.746198,NS,HR↓ LR↑
MT-CO2,-0.2096,0.1869,0.857222,0.867207,0.631321,NS,HR↓ LR↑
HSPB1,0.0534,-0.3427,0.986824,0.342777,0.436465,NS,HR↑ LR↓
TTC38,0.1752,0.2196,0.931004,0.82766,0.996645,NS,Concordant Up
BTF3L4,0.2274,-0.1674,0.795076,0.871795,0.565578,NS,HR↑ LR↓
YBX1,0.1179,0.2767,0.942587,0.608752,0.921927,NS,Concordant Up
AK3,-0.1803,-0.2138,0.861694,0.767393,0.996955,NS,Concordant Down
PSAP,0.3481,-0.0457,0.550157,0.991917,0.579165,NS,HR↑ LR↓
CRAT,-0.3014,-0.0919,0.492902,0.946781,0.814293,NS,Concordant Down
CHCHD7,-0.2136,-0.1796,0.8344,0.868658,0.997347,NS,Concordant Down
PPP2R1A,0.2951,-0.0965,0.626795,0.956366,0.536665,NS,HR↑ LR↓
TMX4,0.1727,-0.2175,0.863943,0.740812,0.511816,NS,HR↑ LR↓
TXNDC17,-0.1421,-0.2471,0.889668,0.597643,0.958032,NS,Concordant Down
TECR,0.2988,0.0902,0.755062,0.978303,0.917812,NS,Concordant Up
MLYCD,0.1974,-0.1908,0.822515,0.784332,0.506494,NS,HR↑ LR↓
SGCA,-0.276,-0.1121,0.679518,0.941571,0.919808,NS,Concordant Down
EIF3K,-0.2776,-0.1105,0.600096,0.928977,0.895664,NS,Concordant Down
CAMK2B,-0.2417,-0.1462,0.64044,0.847049,0.962458,NS,Concordant Down
ME2,0.2375,-0.1498,0.849742,0.932209,0.708387,NS,HR↑ LR↓
SLC25A46,-0.1754,-0.2116,0.891241,0.777509,0.996787,NS,Concordant Down
EML2,-0.1827,-0.2042,0.852327,0.784805,0.99873,NS,Concordant Down
NDUFAB1,-0.3435,0.0431,0.572362,0.993035,0.60369,NS,HR↓ LR↑
MYOM2,-0.3037,0.0824,0.691351,0.975705,0.640568,NS,HR↓ LR↑
TXNDC12,0.1978,0.1882,0.869498,0.859049,0.999804,NS,Concordant Up
RCN1,0.2607,-0.1253,0.780437,0.942944,0.652395,NS,HR↑ LR↓
MAP2K3,-0.3225,0.0631,0.47229,0.978037,0.45954,NS,HR↓ LR↑
TPI1,-0.2185,-0.1669,0.580397,0.706363,0.985439,NS,Concordant Down
PRDX5,0.3599,-0.0251,0.237261,0.995763,0.324323,NS,HR↑ LR↓
NLRX1,-0.1423,-0.2427,0.926879,0.722288,0.973642,NS,Concordant Down
CKM,-0.278,-0.1068,0.453139,0.904727,0.843132,NS,Concordant Down
SMS,-0.1798,-0.2048,0.915063,0.868791,0.998906,NS,Concordant Down
FABP5,-0.2863,-0.0976,0.71952,0.964695,0.91269,NS,Concordant Down
ENSA,0.0949,-0.2887,0.989164,0.783022,0.83542,NS,HR↑ LR↓
RAB12,-0.3445,0.0387,0.644286,0.99481,0.661731,NS,HR↓ LR↑
FAHD2A,-0.2587,-0.1241,0.736741,0.941629,0.953642,NS,Concordant Down
BOLA2,0.3128,0.0695,0.745954,0.985441,0.88335,NS,Concordant Up
SLC44A2,-0.1781,0.2036,0.9126,0.877726,0.715405,NS,HR↓ LR↑
CIRBP,0.274,-0.1047,0.708963,0.951108,0.5964,NS,HR↑ LR↓
HPCAL1,0.2124,0.1662,0.840217,0.881068,0.994986,NS,Concordant Up
UFL1,0.2976,0.0807,0.729142,0.975334,0.889119,NS,Concordant Up
APEH,-0.2714,0.1063,0.413892,0.891444,0.266339,NS,HR↓ LR↑
COQ10A,-0.2709,-0.1068,0.80652,0.96547,0.948577,NS,Concordant Down
ATP5PD,-0.144,-0.2336,0.869505,0.588435,0.96576,NS,Concordant Down
NDUFV3,-0.1512,-0.225,0.94324,0.847218,0.990501,NS,Concordant Down
ATPAF1,-0.2559,-0.1198,0.755701,0.929996,0.948849,NS,Concordant Down
SEC23A,0.1716,-0.2029,0.919613,0.87057,0.717947,NS,HR↑ LR↓
CSRP1,-0.3596,-0.0147,0.787075,0.999612,0.851594,NS,Concordant Down
CRKL,0.0578,0.3161,0.99011,0.613667,0.837284,NS,Concordant Up
TUBB6,0.37,-0.0036,0.589558,0.99996,0.681836,NS,HR↑ LR↓
MCEE,6e-4,-0.3726,0.999999,0.452656,0.65099,NS,HR↑ LR↓
COPB2,0.2097,-0.1632,0.866928,0.912059,0.69914,NS,HR↑ LR↓
PTPN11,-0.1108,0.2609,0.957799,0.741955,0.656343,NS,HR↓ LR↑
GYG1,-0.2667,-0.105,0.677205,0.945128,0.915933,NS,Concordant Down
PSMD14,0.1885,0.1821,0.795669,0.774706,0.999859,NS,Concordant Up
RPL23A,0.2431,0.1275,0.81768,0.944111,0.971572,NS,Concordant Up
PSMD8,0.2118,-0.1588,0.759195,0.842823,0.493507,NS,HR↑ LR↓
GLOD4,0.2259,-0.1447,0.703645,0.860043,0.459688,NS,HR↑ LR↓
OPTN,0.1631,0.2066,0.95162,0.921886,0.997759,NS,Concordant Up
PIN4,-0.1147,-0.2549,0.957864,0.738054,0.953003,NS,Concordant Down
YWHAG,0.1419,-0.2275,0.909208,0.713592,0.551366,NS,HR↑ LR↓
RPL27A,0.2624,0.1069,0.879209,0.981842,0.972352,NS,Concordant Up
EEF2,0.2328,-0.1351,0.590346,0.838425,0.340969,NS,HR↑ LR↓
ABCF3,0.1004,0.2675,0.976882,0.881169,0.963596,NS,Concordant Up
HSP90B1,0.3167,-0.0502,0.565287,0.988655,0.576349,NS,HR↑ LR↓
RPN1,0.3625,0.0043,0.435518,0.999922,0.578509,NS,Concordant Up
PFDN6,-0.3553,-0.0114,0.461212,0.999443,0.614879,NS,Concordant Down
EIF2S3,0.2697,0.0966,0.593391,0.942541,0.878799,NS,Concordant Up
NDUFB8,-0.3207,-0.0456,0.735855,0.994488,0.857378,NS,Concordant Down
OBSCN,0.3045,-0.061,0.702034,0.987547,0.687893,NS,HR↑ LR↓
NPLOC4,0.3561,0.0081,0.393247,0.999684,0.551572,NS,Concordant Up
CPT2,-0.3614,0.0026,0.473056,0.999973,0.595924,NS,HR↓ LR↑
PFDN2,-0.3359,-0.0272,0.558512,0.997083,0.719979,NS,Concordant Down
OXSR1,0.0084,0.3546,0.999773,0.454072,0.658744,NS,Concordant Up
HINT1,0.0111,-0.3518,0.999572,0.423407,0.598443,NS,HR↑ LR↓
ERLIN2,0.3055,0.0569,0.636972,0.986953,0.822761,NS,Concordant Up
ATP6V1E1,0.1636,-0.1983,0.938911,0.887176,0.768742,NS,HR↑ LR↓
RPS4X,0.1938,0.1678,0.838202,0.858303,0.998172,NS,Concordant Up
PTGES2,-0.2639,-0.0975,0.706342,0.956617,0.917244,NS,Concordant Down
DYSF,0.1797,-0.1813,0.726093,0.670405,0.311153,NS,HR↑ LR↓
DSTN,-0.2386,0.1212,0.811179,0.945975,0.688536,NS,HR↓ LR↑
EIF4A2,0.1908,-0.1687,0.780586,0.798207,0.468245,NS,HR↑ LR↓
MFAP4,0.0285,-0.3307,0.998536,0.752701,0.811377,NS,HR↑ LR↓
UBE2K,0.0859,0.2726,0.979315,0.731797,0.923459,NS,Concordant Up
NDUFA10,-0.1296,-0.2287,0.933959,0.744466,0.972557,NS,Concordant Down
NAMPT,-0.1885,0.1696,0.882706,0.888942,0.688064,NS,HR↓ LR↑
PPIC,-0.0061,0.3517,0.9999,0.505648,0.686123,NS,HR↓ LR↑
GSTM1,-0.152,0.2054,0.978759,0.9535,0.909518,NS,HR↓ LR↑
PLIN5,-0.3272,0.03,0.768158,0.998064,0.799617,NS,HR↓ LR↑
GNB2,-0.1014,-0.2557,0.952769,0.619723,0.916668,NS,Concordant Down
TATDN1,-0.2744,0.0824,0.77365,0.978282,0.721528,NS,HR↓ LR↑
MAP2K4,0.1889,-0.1672,0.898283,0.907117,0.731301,NS,HR↑ LR↓
LDHD,-0.289,0.0669,0.723269,0.983705,0.688986,NS,HR↓ LR↑
IMMT,-0.2741,-0.0815,0.561339,0.9579,0.840628,NS,Concordant Down
PSMB6,-0.2486,-0.1068,0.797262,0.959134,0.953888,NS,Concordant Down
HSPBP1,-0.1693,-0.1858,0.90544500000000006,0.851048,0.9994,NS,Concordant Down
STAT3,0.3514,-0.003,0.687435,0.99997,0.740164,NS,HR↑ LR↓
MDH2,-0.3248,-0.0284,0.279182,0.993931,0.507622,NS,Concordant Down
SYNJ2BP,-0.1475,-0.2041,0.871893,0.702456,0.987777,NS,Concordant Down
CYC1,0.1277,-0.2233,0.934438,0.7505,0.625859,NS,HR↑ LR↓
PPP5C,-0.1763,-0.1744,0.809034,0.778462,0.999987,NS,Concordant Down
RAB1A,-0.1364,0.2137,0.945546,0.866045,0.749532,NS,HR↓ LR↑
KARS1,-0.2696,-0.0804,0.592678,0.961135,0.853619,NS,Concordant Down
TOMM40,0.2843,0.065,0.81265,0.988793,0.916478,NS,Concordant Up
RPS8,-0.3387,0.0102,0.676565,0.999711,0.746938,NS,HR↓ LR↑
GSTO1,0.0349,0.3137,0.995195,0.483101,0.734603,NS,Concordant Up
LGALS1,0.2043,-0.1439,0.82494,0.900789,0.633433,NS,HR↑ LR↓
RSU1,0.0594,-0.2886,0.982141,0.456917,0.509412,NS,HR↑ LR↓
PIN1,-0.2661,-0.0815,0.619231,0.959673,0.864465,NS,Concordant Down
GPT,-0.3406,-0.0069,0.483902,0.99979,0.625167,NS,Concordant Down
RCN2,0.0033,-0.3441,0.999967,0.489237,0.672563,NS,HR↑ LR↓
FXN,-0.2847,0.0627,0.708515,0.985834,0.689836,NS,HR↓ LR↑
BCAT2,0.0072,-0.3397,0.999856,0.569365,0.708287,NS,HR↑ LR↓
PTCD3,0.2105,0.1362,0.93691,0.974196,0.994797,NS,Concordant Up
PSMA3,-0.2195,-0.1268,0.715777,0.892808,0.966367,NS,Concordant Down
GPX1,-0.1546,0.1916,0.880217,0.777607,0.565231,NS,HR↓ LR↑
UBE2M,-0.2345,0.1117,0.654933,0.912479,0.482544,NS,HR↓ LR↑
BIN1,0.2131,-0.133,0.687999,0.860597,0.444778,NS,HR↑ LR↓
PYGB,-0.2547,-0.0906,0.68836,0.957595,0.908386,NS,Concordant Down
DNAJA4,0.3351,-0.0098,0.606952,0.999669,0.691874,NS,HR↑ LR↓
PCCB,-0.1131,-0.2316,0.939262,0.679585,0.951398,NS,Concordant Down
YWHAE,0.2181,-0.1264,0.749375,0.905238,0.560058,NS,HR↑ LR↓
IST1,-0.0959,-0.2486,0.980211,0.819573,0.960608,NS,Concordant Down
RABGGTA,-0.2847,-0.0594,0.677263,0.984785,0.849426,NS,Concordant Down
PRKAR1A,0.1823,-0.1616,0.780414,0.797306,0.466289,NS,HR↑ LR↓
NIPSNAP2,-0.1329,-0.2108,0.914877,0.735289,0.979914,NS,Concordant Down
CAVIN2,-0.1912,-0.1521,0.861367,0.89873,0.996241,NS,Concordant Down
FAM162A,-0.1482,0.1951,0.888186,0.764309,0.563784,NS,HR↓ LR↑
TACC2,-0.2221,-0.1209,0.858542,0.935393,0.977395,NS,Concordant Down
TNNT3,0.1764,-0.1666,0.937906,0.935303,0.822282,NS,HR↑ LR↓
PSMA7,-0.1368,0.206,0.885161,0.681294,0.486836,NS,HR↓ LR↑
MAPK1,0.3007,-0.0415,0.658211,0.993424,0.677233,NS,HR↑ LR↓
DNM1L,-0.0886,-0.2526,0.969037,0.674625,0.917501,NS,Concordant Down
CYB5B,-0.2176,0.1235,0.780128,0.920821,0.614039,NS,HR↓ LR↑
GLUD1,-0.1857,-0.1549,0.796312,0.834572,0.996572,NS,Concordant Down
TBC1D17,-0.1059,-0.2338,0.976381,0.856373,0.974235,NS,Concordant Down
SPR,-0.0072,-0.3323,0.999885,0.666375,0.798495,NS,Concordant Down
NIPSNAP3A,0.1102,0.229,0.966129,0.822742,0.97126,NS,Concordant Up
RDX,-0.1725,-0.1665,0.775816,0.752539,0.999848,NS,Concordant Down
TNNT1,0.2568,0.0818,0.888137,0.98767,0.962499,NS,Concordant Up
PSMB7,-0.3136,-0.0245,0.543869,0.997252,0.709074,NS,Concordant Down
TAGLN2,0.3091,0.0283,0.623915,0.996878,0.770132,NS,Concordant Up
NAP1L4,0.0335,0.3037,0.996964,0.662912,0.832794,NS,Concordant Up
GPD1,-0.2137,-0.1232,0.744908,0.904628,0.969752,NS,Concordant Down
RNPEP,-0.1739,-0.1629,0.841977,0.836698,0.999615,NS,Concordant Down
RRAGC,-0.2807,-0.0548,0.767841,0.990442,0.888748,NS,Concordant Down
NDUFA8,-0.3341,8e-4,0.583327,0.999998,0.688822,NS,HR↓ LR↑
LNPK,0.2294,-0.1052,0.813309,0.956457,0.708961,NS,HR↑ LR↓
FKBP3,-0.2111,-0.1228,0.714861,0.891093,0.967138,NS,Concordant Down
LYPLA2,-0.1997,-0.1336,0.791365,0.887895,0.984899,NS,Concordant Down
CPNE1,0.2761,0.0569,0.793549,0.990134,0.90255,NS,Concordant Up
CS,-0.2781,-0.0544,0.454473,0.977894,0.729034,NS,Concordant Down
CTSB,0.3182,-0.0141,0.663193,0.999355,0.729807,NS,HR↑ LR↓
PDPR,-0.2969,-0.0354,0.782966,0.996132,0.866094,NS,Concordant Down
RTCA,-0.0075,-0.3246,0.999843,0.592019,0.752791,NS,Concordant Down
GOT1,-0.272,-0.0599,0.442673,0.97079,0.739257,NS,Concordant Down
OLA1,0.179,-0.1527,0.799263,0.829225,0.518139,NS,HR↑ LR↓
PGRMC2,-0.2473,0.0838,0.670767,0.959715,0.580732,NS,HR↓ LR↑
DDAH2,0.1997,-0.1311,0.869584,0.932977,0.730378,NS,HR↑ LR↓
DLST,-0.2622,0.0685,0.497503,0.963082,0.439574,NS,HR↓ LR↑
HSP90AA1,0.3205,-0.01,0.421404,0.999453,0.535075,NS,HR↑ LR↓
LARS1,0.1902,0.1403,0.821575,0.88855,0.992161,NS,Concordant Up
MBNL1,0.2088,-0.1215,0.78291,0.920786,0.61747,NS,HR↑ LR↓
HSPB6,-0.0244,-0.3059,0.998167,0.604505,0.788377,NS,Concordant Down
ACP1,0.0583,0.2718,0.986302,0.602735,0.847475,NS,Concordant Up
HSP90AB1,0.3091,0.0204,0.38326,0.997297,0.580018,NS,Concordant Up
EIF3B,0.3237,-0.0057,0.571291,0.999881,0.681763,NS,HR↑ LR↓
SRP9,-0.1965,0.1327,0.843466,0.919081,0.67936,NS,HR↓ LR↑
NAP1L1,0.2087,0.1193,0.838046,0.933143,0.978946,NS,Concordant Up
ARPC3,0.0819,0.2459,0.987646,0.852029,0.961029,NS,Concordant Up
COX5A,-0.1723,-0.1555,0.87354,0.87941,0.999246,NS,Concordant Down
MCU,-0.1195,0.2082,0.951585,0.831829,0.728188,NS,HR↓ LR↑
MTX2,-0.0417,-0.2852,0.99728000000000006,0.840714,0.926271,NS,Concordant Down
CAPNS1,0.2267,-0.0995,0.75645,0.949106,0.638166,NS,HR↑ LR↓
PPA1,-0.1544,0.1718,0.858608,0.789745,0.547129,NS,HR↓ LR↑
OSTC,-0.1873,-0.1386,0.900067,0.929127,0.995254,NS,Concordant Down
HSD17B10,-0.2276,-0.098,0.674642,0.934077,0.927171,NS,Concordant Down
MUSTN1,0.1229,0.2025,0.968892,0.89682,0.990566,NS,Concordant Up
RPS3A,0.3232,-0.0022,0.591507,0.999982,0.692974,NS,HR↑ LR↓
DECR1,-0.2153,-0.1094,0.641401,0.895844,0.941471,NS,Concordant Down
AK2,-0.3054,-0.0179,0.369218,0.997818,0.562617,NS,Concordant Down
HSPB3,0.243,0.0797,0.684144,0.965383,0.900649,NS,Concordant Up
UQCRQ,-0.3042,0.0177,0.643688,0.998826,0.706993,NS,HR↓ LR↑
AMPD1,-0.205,-0.1159,0.880838,0.957556,0.98452,NS,Concordant Down
