gene,logFC,neg_log10_p,pi_score,adj_pval,direction
LYZ,-0.6676,0.2588,0.671714,0.998942,NS
SYPL1,-0.2712,0.6344,0.672905,0.998942,NS
MYLK,-0.4064,0.4202,0.674929,0.998942,NS
NPM1,-0.2712,0.6281,0.675563,0.998942,NS
CS,0.1916,0.888,0.67591,0.998942,NS
XRCC6,-0.2686,0.6277,0.678304,0.998942,NS
RRAD,0.4201,0.4006,0.678712,0.998942,NS
EIF4A2,-0.2121,0.7923,0.67912,0.998942,NS
HNRNPUL2,0.3866,0.4346,0.679163,0.998942,NS
TIMM9,-0.327,0.5127,0.679734,0.998942,NS
EML1,-0.2667,0.6264,0.680637,0.998942,NS
MT-ND1,-0.3262,0.5106,0.681433,0.998942,NS
HDHD5,0.2994,0.554,0.682547,0.998942,NS
EYA3,-0.3291,0.5032,0.682943,0.998942,NS
GYS1,0.2024,0.8172,0.683294,0.998942,NS
RPA3,-0.3243,0.5079,0.684381,0.998942,NS
MAT2A,0.2432,0.6755,0.685026,0.998942,NS
MT-ND2,-0.322,0.5095,0.685341,0.998942,NS
F13A1,0.3877,0.4232,0.68539,0.998942,NS
YWHAQ,0.2677,0.6121,0.68569,0.998942,NS
EHD4,-0.2875,0.5693,0.685994,0.998942,NS
HSPD1,0.1947,0.8355,0.68755,0.998942,NS
PSMB2,-0.2059,0.7894,0.687741,0.998942,NS
CPNE3,-0.2045,0.7931,0.688304,0.998942,NS
ARL1,-0.3911,0.4133,0.689182,0.998942,NS
AHSA1,-0.3215,0.5023,0.689503,0.998942,NS
TMX3,0.2634,0.611,0.690318,0.998942,NS
RIDA,-0.1887,0.8523,0.690442,0.998942,NS
DYNC1H1,0.1962,0.81,0.693608,0.998942,NS
PRKG1,-0.3398,0.4666,0.694116,0.998942,NS
COPS3,0.2799,0.5662,0.69424,0.998942,NS
HSD17B4,0.275,0.5652,0.699176,0.998942,NS
ADH5,0.2113,0.7353,0.699222,0.998942,NS
QDPR,-0.1917,0.8085,0.699906,0.998942,NS
PTRHD1,-0.2821,0.5439,0.702354,0.998942,NS
TF,-0.3113,0.4916,0.703005,0.998942,NS
GSTM2,-0.2321,0.6568,0.703921,0.998942,NS
HIKESHI,0.3182,0.4787,0.704206,0.998942,NS
PRPSAP1,-0.4457,0.3416,0.704295,0.998942,NS
HRC,-0.2388,0.6366,0.704671,0.998942,NS
FBP1,0.3892,0.39,0.704978,0.998942,NS
BSG,0.1895,0.7916,0.70791,0.998942,NS
RBBP7,0.3479,0.4275,0.710045,0.998942,NS
RPL6,-0.3085,0.4813,0.710475,0.998942,NS
MAPKAPK2,0.2422,0.61240000000000006,0.710655,0.998942,NS
PPIA,0.2429,0.6089,0.711422,0.998942,NS
PFDN2,-0.2459,0.5991,0.712322,0.998942,NS
CA2,-0.2652,0.5517,0.71402,0.998942,NS
NDUFA5,0.2541,0.5744,0.714587,0.998942,NS
NUTF2,0.2053,0.7092,0.715164,0.998942,NS
CAPN2,0.249,0.5844,0.715326,0.998942,NS
ALDOC,-0.2649,0.5487,0.715573,0.998942,NS
APIP,-0.3852,0.3763,0.716186,0.998942,NS
LMOD3,0.2866,0.503,0.717564,0.998942,NS
