pathway,pathway_label,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,significance,set_size
GOBP_REGULATION_OF_ATP_DEPENDENT_ACTIVITY,Regulation Of ATP Dependent Activity,GO:BP,-0.813,1.049,0.912,0.8579,NS,14
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,Positive Regulation Of Double Strand Break...,GO:BP,-1.073,0.787,0.7466,0.9733,NS,10
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,Antibacterial Humoral Response,GO:BP,-0.891,-0.969,0.8699,0.9206,NS,14
GOBP_POSITIVE_REGULATION_OF_STRESS_FIBER_ASSEMBLY,Positive Regulation Of Stress Fiber Assembly,GO:BP,-1.337,0.522,0.5316,0.9993,NS,12
GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT,Hepaticobiliary System Development,GO:BP,0.857,1.002,0.8902,0.8851,NS,15
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS,Intrinsic Apoptotic Signaling Pathway In R...,GO:BP,-0.815,1.044,0.912,0.858,NS,18
GOBP_MEMBRANE_LIPID_METABOLIC_PROCESS,Membrane Lipid Metabolic Process,GO:BP,0.726,-1.133,0.9401,0.8324,NS,12
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Positive Regulation Of Proteolysis Involve...,GO:BP,-0.906,-0.952,0.8699,0.9237,NS,32
GOBP_POSITIVE_REGULATION_OF_BINDING,Positive Regulation Of Binding,GO:BP,-0.661,-1.197,0.9636,0.7768,NS,16
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,Regulation Of Mitochondrion Organization,GO:BP,0.854,1.002,0.9045,0.8865,NS,33
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,Cardiac Chamber Development,GO:BP,-0.723,1.133,0.9469,0.8367,NS,13
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,Sodium Ion Transmembrane Transport,GO:BP,-0.814,-1.04,0.912,0.861,NS,14
GOBP_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,Regulation Of Nucleotide Metabolic Process,GO:BP,-1.248,0.605,0.5772,0.9993,NS,23
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE,Maintenance Of Protein Localization In Org...,GO:BP,-1.06,-0.792,0.7545,0.9698,NS,10
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Regulation Of Apoptotic Signaling Pathway,GO:BP,-0.935,0.917,0.8604,0.9468,NS,72
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Glutamine Family Amino Acid Metabolic Process,GO:BP,0.837,1.015,0.8974,0.8788,NS,15
