pathway,padj,NES,size,database,pval,ES,log2err,contrast
GOBP_ACTIN_FILAMENT_POLYMERIZATION,0.2868093587206729,1.3920150293003186,28,GO:BP,0.0790032837550705,0.4028335931102794,0.06990723473478111,Acute_HR
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,0.44225339862984375,1.2230401059701668,36,GO:BP,0.18015414258188825,0.3335591547319311,0.044934701758657915,Acute_HR
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING,0.338232970505618,1.3902676766258988,14,GO:BP,0.10624144003130503,0.48653613980065225,0.06023700915410373,Acute_HR
GOBP_ACTIN_NUCLEATION,0.5527445800072569,1.1634831246845836,12,GO:BP,0.2693359375,0.4256521617315422,0.036079814407194426,Acute_HR
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,0.4188765281238263,1.2533265009732149,32,GO:BP,0.1618352850835093,0.35121834907358074,0.04756407101582593,Acute_HR
GOBP_ACTION_POTENTIAL,0.8873695336239925,0.8362603689693531,26,GO:BP,0.7075854082223509,0.24642283014532063,0.018965765546232454,Acute_HR
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,0.11373208540508921,1.5350159261983531,49,GO:BP,0.0188212927756654,0.39027694157436627,0.14464557226410138,Acute_HR
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,0.2176792128689677,1.3713879590181395,66,GO:BP,0.0518796992481203,0.32606824139749346,0.08571314687753376,Acute_HR
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.8348761500353856,-0.8922047309003812,26,GO:BP,0.6191661481020535,-0.25830181247163364,0.022119366144504844,Acute_HR
GOBP_ADAPTIVE_THERMOGENESIS,0.2561017198817227,-1.4250027111686454,25,GO:BP,0.06538381957376371,-0.41678714534614864,0.07993070157109763,Acute_HR
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.35638997994098914,1.389085379672341,10,GO:BP,0.11768184506209343,0.5360722728856113,0.05728154378009623,Acute_HR
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,0.3386106564608673,1.375765452008455,16,GO:BP,0.10680364411707695,0.46175061870573936,0.059772423008427535,Acute_HR
